code,name,start_date,end_date,days,p_change,p1,p2,p3,totals,pe,outstanding
600536,中国软件,2020-05-11,0,1,0,0,0,0,4.95,0.0,4.95
600548,深高速,2020-05-11,0,1,0,0,0,0,21.81,0.0,14.33
600549,厦门钨业,2020-05-11,0,1,0,0,0,0,14.06,56.75,14.06
600560,金自天正,2020-05-11,0,1,0,0,0,0,2.24,85.05,2.24
600563,法拉电子,2020-05-11,0,1,0,0,0,0,2.25,31.26,2.25
600570,恒生电子,2020-05-11,0,1,0,0,0,0,8.03,0.0,8.03
600578,京能电力,2020-05-11,0,1,0,0,0,0,67.47,10.38,67.47
600582,天地科技,2020-05-11,0,1,0,0,0,0,41.39,44.66,41.39
600584,长电科技,2020-05-11,0,1,0,0,0,0,16.03,80.03,9.85
600588,用友网络,2020-05-11,0,1,0,0,0,0,25.03,0.0,24.93
600593,大连圣亚,2020-05-11,0,1,0,0,0,0,1.29,0.0,1.29
600598,北大荒,2020-05-11,0,1,0,0,0,0,17.78,20.57,17.78
600600,青岛啤酒,2020-05-11,0,1,0,0,0,0,13.51,34.81,6.96
600604,市北高新,2020-05-11,0,1,0,0,0,0,18.73,23.22,14.07
600605,汇通能源,2020-05-11,0,1,0,0,0,0,1.47,31.96,1.47
600612,老凤祥,2020-05-11,0,1,0,0,0,0,5.23,15.2,3.17
600616,金枫酒业,2020-05-11,0,1,0,0,0,0,5.15,0.0,5.15
600635,大众公用,2020-05-11,0,1,0,0,0,0,29.52,29.96,24.19
600636,国新文化,2020-05-11,0,1,0,0,0,0,4.47,78.14,4.47
600641,万业企业,2020-05-11,0,1,0,0,0,0,8.06,50.59,8.06
600643,爱建集团,2020-05-11,0,1,0,0,0,0,16.22,11.23,14.34
600650,锦江投资,2020-05-11,0,1,0,0,0,0,5.52,30.54,3.91
600655,豫园股份,2020-05-11,0,1,0,0,0,0,38.84,22.78,16.03
600667,太极实业,2020-05-11,0,1,0,0,0,0,21.06,54.79,21.06
600681,百川能源,2020-05-11,0,1,0,0,0,0,14.43,10.3,14.02
600683,京投发展,2020-05-11,0,1,0,0,0,0,7.41,10.16,7.41
600687,*ST刚泰,2020-05-11,0,1,0,0,0,0,14.89,0.0,14.89
600695,绿庭投资,2020-05-11,0,1,0,0,0,0,7.11,0.0,3.66
600717,天津港,2020-05-11,0,1,0,0,0,0,20.1,24.12,20.1
600730,中国高科,2020-05-11,0,1,0,0,0,0,5.87,72.75,5.87
600731,湖南海利,2020-05-11,0,1,0,0,0,0,3.55,10.04,3.27
600732,爱旭股份,2020-05-11,0,1,0,0,0,0,18.3,47.03,4.46
600754,锦江酒店,2020-05-11,0,1,0,0,0,0,9.58,39.54,8.02
600755,厦门国贸,2020-05-11,0,1,0,0,0,0,18.5,5.62,18.5
600756,浪潮软件,2020-05-11,0,1,0,0,0,0,3.24,0.0,3.24
600757,长江传媒,2020-05-11,0,1,0,0,0,0,12.14,13.04,12.13
600763,通策医疗,2020-05-11,0,1,0,0,0,0,3.21,0.0,3.21
600770,综艺股份,2020-05-11,0,1,0,0,0,0,13.0,46.52,13.0
600773,西藏城投,2020-05-11,0,1,0,0,0,0,8.2,50.1,7.46
600779,水井坊,2020-05-11,0,1,0,0,0,0,4.89,29.33,4.88
600783,鲁信创投,2020-05-11,0,1,0,0,0,0,7.44,0.0,7.44
600787,中储股份,2020-05-11,0,1,0,0,0,0,22.0,68.89,22.0
600790,轻纺城,2020-05-11,0,1,0,0,0,0,14.66,18.18,14.66
600793,宜宾纸业,2020-05-11,0,1,0,0,0,0,1.26,0.0,1.05
600807,ST天业,2020-05-11,0,1,0,0,0,0,8.85,16.62,7.87
600808,马钢股份,2020-05-11,0,1,0,0,0,0,77.01,13.42,59.68
600809,山西汾酒,2020-05-11,0,1,0,0,0,0,8.72,19.28,8.66
600811,东方集团,2020-05-11,0,1,0,0,0,0,37.15,15.56,37.15
600818,中路股份,2020-05-11,0,1,0,0,0,0,3.21,30.63,2.38
600830,香溢融通,2020-05-11,0,1,0,0,0,0,4.54,131.43,4.54
600841,上柴股份,2020-05-11,0,1,0,0,0,0,8.67,82.91,5.22
600845,宝信软件,2020-05-11,0,1,0,0,0,0,11.4,55.83,8.36
600848,上海临港,2020-05-11,0,1,0,0,0,0,21.02,53.44,10.13
600853,龙建股份,2020-05-11,0,1,0,0,0,0,8.37,0.0,6.98
600858,银座股份,2020-05-11,0,1,0,0,0,0,5.2,0.0,5.18
600861,北京城乡,2020-05-11,0,1,0,0,0,0,3.17,0.0,3.17
600868,梅雁吉祥,2020-05-11,0,1,0,0,0,0,18.98,606.6,18.98
600870,ST厦华,2020-05-11,0,1,0,0,0,0,5.23,0.0,5.23
600872,中炬高新,2020-05-11,0,1,0,0,0,0,7.97,49.25,7.97
600873,梅花生物,2020-05-11,0,1,0,0,0,0,31.04,14.32,30.81
600874,创业环保,2020-05-11,0,1,0,0,0,0,14.27,19.24,10.87
600885,宏发股份,2020-05-11,0,1,0,0,0,0,7.45,42.04,7.45
600886,国投电力,2020-05-11,0,1,0,0,0,0,67.86,8.74,67.86
600890,中房股份,2020-05-11,0,1,0,0,0,0,5.79,0.0,5.79
600893,航发动力,2020-05-08,0,1,0,0,0,0,22.5,162.22,19.48
600901,江苏租赁,2020-05-11,0,1,0,0,0,0,29.87,8.41,17.91
600917,重庆燃气,2020-05-11,0,1,0,0,0,0,15.56,49.18,15.56
600919,江苏银行,2020-05-11,0,1,0,0,0,0,115.45,4.11,114.06
600933,爱柯迪,2020-05-11,0,1,0,0,0,0,8.57,26.06,2.67
600958,东方证券,2020-05-11,0,1,0,0,0,0,69.94,20.47,56.77
600971,恒源煤电,2020-05-11,0,1,0,0,0,0,12.0,7.48,12.0
600975,新五丰,2020-05-11,0,1,0,0,0,0,6.53,15.44,6.53
600977,中国电影,2020-05-11,0,1,0,0,0,0,18.67,0.0,18.67
