,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
34,002396,星网锐捷,通信设备,福建,32.72,5.61,5.83,67.57,51.34,5.56,6.86,1.18,0.823,7.02,5.12,20100623,26.15,4.48,-3.11,19.35,37.61,8.01,30749.0
35,002484,江海股份,元器件,江苏,28.72,7.64,8.15,43.39,25.67,7.87,13.84,1.7,0.20800000000000002,4.14,1.92,20100929,9.97,1.22,7.58,-4.76,29.78,11.43,24478.0
36,002768,国恩股份,塑料,山东,19.07,1.77,2.71,43.3,31.49,7.38,9.36,3.45,0.925,8.26,2.85,20150630,9.45,3.48,30.57,24.26,17.96,8.21,14792.0
37,002803,吉宏股份,互联网,福建,19.73,1.18,2.23,23.7,15.59,4.46,5.33,2.4,1.1,5.98,4.58,20160712,5.41,2.43,33.61,76.29,44.18,10.71,11020.0
38,002847,盐津铺子,食品,湖南,38.65,0.36,1.28,14.39,5.2,6.86,3.63,2.83,0.72,6.1,5.9,20170208,2.68,2.08,30.12,62.92,42.87,9.15,11594.0
39,002152,广电运通,IT设备,广东,34.93,23.93,24.09,132.1,86.79,11.19,20.85,0.87,0.209,3.7,2.63,20070813,40.27,1.67,25.06,12.67,39.6,12.37,74869.0
40,002351,漫步者,IT设备,深圳,137.83,2.91,5.93,21.09,15.64,4.1,7.53,1.27,0.135,3.09,8.06,20100205,4.08,0.69,30.13,48.7,35.1,10.18,32296.0
41,600251,冠农股份,农业综合,新疆,21.99,7.85,7.85,48.86,29.16,8.13,3.66,0.47,0.196,2.72,2.11,20030609,8.69,1.11,41.59,19.6,8.04,6.49,43722.0
42,600862,中航高科,航空,江苏,35.27,13.93,13.93,88.85,64.86,9.91,14.49,1.04,0.243,2.85,4.0,19940520,7.22,0.52,6.12,45.66,30.86,15.8,63681.0
43,603859,能科股份,软件服务,北京,52.75,1.26,1.39,13.92,9.71,1.31,4.83,3.47,0.46,7.69,3.66,20161021,3.3,2.37,93.22,208.37,41.15,10.71,10526.0
44,002304,洋河股份,白酒,江苏,17.67,12.49,15.07,462.97,308.45,73.81,7.42,0.49,4.742,24.07,4.64,20091106,332.74,22.08,0.63,1.53,71.67,33.87,95046.0
45,002400,省广集团,广告包装,广东,41.02,16.75,17.43,91.75,52.33,6.86,14.06,0.81,0.063,3.04,1.14,20100506,19.25,1.1,1.11,-25.56,11.94,1.32,60901.0
46,002505,大康农业,农业综合,湖南,139.47,54.85,54.85,140.73,63.96,30.97,2.54,0.05,0.01,0.83,2.18,20101118,-7.33,-0.13,-14.64,26.15,9.33,0.54,173948.0
47,002959,小熊电器,家用电器,广东,37.29,0.3,1.2,22.16,17.69,1.14,9.7,8.08,1.8,13.03,5.33,20190823,4.5,3.75,0.0,0.0,35.29,9.74,26130.0
48,000002,万 科Ａ,全国地产,深圳,59.39,97.15,113.02,17397.95,14497.91,120.46,123.4,1.09,0.111,16.69,1.57,19910129,966.01,8.55,-1.24,11.49,31.28,2.62,326437.0
49,603180,金牌厨柜,家居用品,福建,170.12,0.18,0.68,24.8,13.29,6.64,4.58,6.76,0.1,17.21,3.73,20170512,6.49,9.58,-3.93,-66.49,32.0,2.39,9685.0
50,002409,雅克科技,化工原料,江苏,42.25,2.33,4.63,51.28,19.17,6.89,30.5,6.59,0.251,9.77,4.34,20100525,9.41,2.03,5.57,181.2,39.72,26.47,30124.0
