,code,name,start_date,end_date,days,p_change,p1,p2,p3,totals,pe,outstanding,monitor
298,603197,保隆科技,2020-05-14,0,1,0,0,0,0,1.66,31.41,0.98,28.64
299,603200,上海洗霸,2020-05-14,0,1,0,0,0,0,1.01,70.79,0.35,75.54
300,603203,快克股份,2020-05-14,0,1,0,0,0,0,1.57,30.33,1.57,26.92
301,603208,江山欧派,2020-05-14,0,1,0,0,0,0,0.81,60.68,0.81,126.68
302,603222,济民制药,2020-05-14,0,1,0,0,0,0,3.2,0.0,3.2,48.37
303,603232,格尔软件,2020-05-14,0,1,0,0,0,0,1.21,0.0,1.21,43.01
304,603236,移远通信,2020-05-14,0,1,0,0,0,0,0.89,158.27,0.22,242.18
305,603266,天龙股份,2020-05-14,0,1,0,0,0,0,1.99,35.94,1.96,11.38
306,603297,永新光学,2020-05-14,0,1,0,0,0,0,1.11,32.61,0.51,38.82
307,603298,杭叉集团,2020-05-14,0,1,0,0,0,0,6.19,13.42,6.19,13.34
308,603305,旭升股份,2020-05-14,0,1,0,0,0,0,4.15,89.35,0.77,42.26
309,603313,梦百合,2020-05-14,0,1,0,0,0,0,3.41,23.63,3.39,24.65
310,603318,派思股份,2020-05-14,0,1,0,0,0,0,4.02,0.0,4.02,7.53
311,603327,福蓉科技,2020-05-14,0,1,0,0,0,0,4.01,29.83,0.51,26.34
312,603335,迪生力,2020-05-14,0,1,0,0,0,0,4.28,17.65,2.03,4.44
313,603336,宏辉果蔬,2020-05-14,0,1,0,0,0,0,2.25,59.63,2.25,18.08
314,603337,杰克股份,2020-05-14,0,1,0,0,0,0,4.44,42.51,4.44,18.83
315,603345,安井食品,2020-05-14,0,1,0,0,0,0,2.36,70.81,2.3,111.31
316,603355,莱克电气,2020-05-14,0,1,0,0,0,0,4.01,25.63,4.01,22.75
317,603357,设计总院,2020-05-14,0,1,0,0,0,0,4.55,12.37,2.22,10.47
318,603378,亚士创能,2020-05-14,0,1,0,0,0,0,1.95,0.0,0.69,35.07
319,603500,祥和实业,2020-05-14,0,1,0,0,0,0,1.76,204.91,0.5,16.76
320,603527,众源新材,2020-05-14,0,1,0,0,0,0,1.74,33.37,1.08,15.06
321,603530,神马电力,2020-05-14,0,1,0,0,0,0,4.0,139.46,0.4,37.08
322,603533,掌阅科技,2020-05-14,0,1,0,0,0,0,4.01,58.44,1.63,34.06
323,603535,嘉诚国际,2020-05-14,0,1,0,0,0,0,1.5,17.9,0.66,17.03
324,603557,起步股份,2020-05-14,0,1,0,0,0,0,4.74,30.92,2.19,8.49
325,603566,普莱柯,2020-05-14,0,1,0,0,0,0,3.21,31.66,3.21,24.72
326,603568,伟明环保,2020-05-14,0,1,0,0,0,0,9.67,38.16,9.66,31.74
327,603587,地素时尚,2020-05-14,0,1,0,0,0,0,4.01,18.15,0.95,22.62
328,603588,高能环境,2020-05-14,0,1,0,0,0,0,6.8,30.71,6.75,12.96
329,603596,伯特利,2020-05-14,0,1,0,0,0,0,4.09,27.32,1.72,27.81
330,603606,东方电缆,2020-05-14,0,1,0,0,0,0,6.54,29.01,6.39,14.65
331,603618,杭电股份,2020-05-14,0,1,0,0,0,0,6.91,137.2,6.91,6.76
332,603626,科森科技,2020-05-14,0,1,0,0,0,0,4.73,94.9,4.64,11.08
333,603639,海利尔,2020-05-14,0,1,0,0,0,0,1.7,14.68,1.68,29.32
334,603665,康隆达,2020-05-14,0,1,0,0,0,0,1.0,51.91,1.0,25.72
335,603680,今创集团,2020-05-14,0,1,0,0,0,0,7.91,25.02,2.46,9.33
336,603686,龙马环卫,2020-05-14,0,1,0,0,0,0,4.16,26.4,4.16,20.04
337,603693,江苏新能,2020-05-14,0,1,0,0,0,0,6.18,9.34,1.93,12.19
338,603700,宁水集团,2020-05-14,0,1,0,0,0,0,1.56,46.11,0.79,40.1
339,603706,东方环宇,2020-05-14,0,1,0,0,0,0,1.6,14.37,0.58,17.38
340,603708,家家悦,2020-05-14,0,1,0,0,0,0,6.08,32.34,6.08,37.98
