code,name,start_date,end_date,days,p_change
002892,科力尔,2019-11-08,2019-09-30,6,-56.23273600000001
603318,派思股份,2019-11-08,2019-10-25,3,-49.647183
603787,新日股份,2019-11-08,2019-11-08,1,-49.227441
603603,博天环境,2019-11-08,2019-11-01,2,-42.697905999999996
002486,嘉麟杰,2019-11-08,2019-09-30,6,-41.40693
600812,华北制药,2019-11-01,2019-09-30,5,-40.111494
000595,宝塔实业,2019-11-01,2019-09-30,5,-39.625371
601595,上海电影,2019-11-08,2019-10-11,5,-38.568344
603738,泰晶科技,2019-11-08,2019-09-30,6,-36.604932999999996
002552,宝鼎科技,2019-11-08,2019-10-25,3,-36.390375999999996
601777,力帆股份,2019-11-08,2019-09-30,6,-36.108763999999994
600212,江泉实业,2019-11-08,2019-11-01,2,-34.935504
603933,睿能科技,2019-11-01,2019-10-18,3,-34.401182
002356,*ST赫美,2019-11-01,2019-09-30,5,-34.028973
002547,春兴精工,2019-11-08,2019-09-30,6,-33.621767000000006
002819,东方中科,2019-11-01,2019-09-30,5,-33.510356
600647,同达创业,2019-11-08,2019-09-30,6,-31.73593
002902,铭普光磁,2019-11-08,2019-09-30,6,-31.381407000000003
000534,万泽股份,2019-11-08,2019-09-30,6,-31.286146000000002
000677,恒天海龙,2019-11-01,2019-11-01,1,-30.239215
000503,国新健康,2019-11-08,2019-09-30,6,-29.783212999999996
600242,中昌数据,2019-11-08,2019-11-08,1,-29.396143000000002
002786,银宝山新,2019-11-01,2019-10-11,4,-29.334708
002917,金奥博,2019-11-01,2019-09-30,5,-29.201667
002428,云南锗业,2019-11-01,2019-09-30,5,-28.893154000000003
002316,亚联发展,2019-11-08,2019-10-11,5,-28.765555
603607,京华激光,2019-11-01,2019-10-25,2,-28.710407
600122,宏图高科,2019-11-08,2019-10-11,5,-28.642328
600592,龙溪股份,2019-11-08,2019-09-30,6,-28.327942999999998
603936,博敏电子,2019-11-08,2019-09-30,6,-28.175938000000002
600052,浙江广厦,2019-11-08,2019-10-25,3,-27.956713999999998
000038,深大通,2019-11-08,2019-09-30,6,-27.926087000000003
603978,深圳新星,2019-11-08,2019-09-30,6,-27.245112
002134,天津普林,2019-11-01,2019-09-30,5,-26.501989000000002
002463,沪电股份,2019-11-01,2019-09-30,5,-25.587198
600078,澄星股份,2019-11-08,2019-09-30,6,-25.427329
000723,美锦能源,2019-11-01,2019-09-30,5,-25.268859
002800,天顺股份,2019-11-01,2019-10-25,2,-25.056658999999996
000532,华金资本,2019-11-01,2019-11-01,1,-24.763747
603083,剑桥科技,2019-11-01,2019-09-30,5,-24.720062
002118,紫鑫药业,2019-11-08,2019-09-30,6,-24.662139
002636,金安国纪,2019-11-08,2019-09-30,6,-24.657592
600004,白云机场,2019-11-08,2019-10-25,3,-24.656834
000610,西安旅游,2019-11-08,2019-09-30,6,-24.566200000000002
002197,证通电子,2019-11-08,2019-09-30,6,-24.144393
603118,共进股份,2019-10-25,2019-09-30,4,-23.976105
600856,ST中天,2019-11-01,2019-10-18,3,-23.652782000000002
002237,恒邦股份,2019-11-08,2019-09-30,6,-23.53673
600844,丹化科技,2019-11-01,2019-10-25,2,-23.236518
002537,海联金汇,2019-10-25,2019-10-25,1,-23.182532000000002
600072,中船科技,2019-11-01,2019-09-30,5,-23.178423000000002
002487,大金重工,2019-11-01,2019-10-25,2,-23.090818000000002
603110,东方材料,2019-11-01,2019-09-30,5,-23.029212
000519,中兵红箭,2019-10-25,2019-09-30,4,-22.946846
002815,崇达技术,2019-11-01,2019-09-30,5,-22.812182
002407,多氟多,2019-11-01,2019-09-30,5,-22.544401999999998
002402,和而泰,2019-11-08,2019-09-30,6,-22.359917000000003
000636,风华高科,2019-11-08,2019-10-25,3,-22.319405000000003
002915,中欣氟材,2019-11-01,2019-09-30,5,-22.165985000000003
002549,凯美特气,2019-11-08,2019-10-11,5,-22.154924
002903,宇环数控,2019-11-08,2019-10-11,5,-22.1393
002201,九鼎新材,2019-10-25,2019-09-30,4,-22.117464
002417,深南股份,2019-11-01,2019-09-30,5,-22.049525000000003
000058,深 赛 格,2019-11-01,2019-09-30,5,-22.015138999999998
600416,湘电股份,2019-11-08,2019-11-08,1,-21.855504
002515,金字火腿,2019-11-08,2019-11-01,2,-21.848249000000003
600829,人民同泰,2019-11-08,2019-09-30,6,-21.626899
002456,欧菲光,2019-10-18,2019-10-11,2,-21.540665
603328,依顿电子,2019-11-08,2019-09-30,6,-21.52871
000603,盛达矿业,2019-11-08,2019-09-30,6,-21.376860999999998
002524,光正集团,2019-11-08,2019-11-01,2,-21.304443
603005,晶方科技,2019-10-18,2019-09-30,3,-21.281331
603283,赛腾股份,2019-11-01,2019-10-18,3,-21.116831
002119,康强电子,2019-11-01,2019-09-30,5,-21.111444
002388,新亚制程,2019-10-18,2019-09-30,3,-21.053577
600685,中船防务,2019-11-08,2019-09-30,6,-21.031171
600547,山东黄金,2019-11-08,2019-09-30,6,-21.020789999999998
000150,宜华健康,2019-10-25,2019-09-30,4,-20.93883
603986,兆易创新,2019-10-18,2019-09-30,3,-20.86314
603322,超讯通信,2019-10-25,2019-09-30,4,-20.856798
002905,金逸影视,2019-11-08,2019-10-18,4,-20.79231
601811,新华文轩,2019-11-08,2019-09-30,6,-20.708111000000002
002169,智光电气,2019-10-18,2019-10-11,2,-20.557078
600183,生益科技,2019-11-08,2019-09-30,6,-20.390649999999997
002919,名臣健康,2019-11-08,2019-10-25,3,-20.348169000000002
002758,华通医药,2019-09-30,2019-09-30,1,-20.271342000000004
603218,日月股份,2019-11-08,2019-10-25,3,-20.095925
600114,东睦股份,2019-11-01,2019-09-30,5,-20.055987000000002
002617,露笑科技,2019-11-08,2019-09-30,6,-19.988827999999998
002750,龙津药业,2019-09-30,2019-09-30,1,-19.979932
601519,大智慧,2019-11-08,2019-10-11,5,-19.888474
002492,恒基达鑫,2019-11-01,2019-11-01,1,-19.763517
002869,金溢科技,2019-09-30,2019-09-30,1,-19.673482999999997
600152,维科技术,2019-11-08,2019-09-30,6,-19.66373
002751,易尚展示,2019-11-08,2019-09-30,6,-19.634390000000003
600584,长电科技,2019-10-18,2019-09-30,3,-19.62718
002756,永兴材料,2019-11-01,2019-10-11,4,-19.61731
603160,汇顶科技,2019-11-01,2019-10-11,4,-19.600254
000021,深科技,2019-11-08,2019-09-30,6,-19.581604000000002
600867,通化东宝,2019-11-08,2019-09-30,6,-19.431903
002783,凯龙股份,2019-11-01,2019-09-30,5,-19.306532999999998
002645,华宏科技,2019-11-08,2019-09-30,6,-19.221584
600155,华创阳安,2019-11-08,2019-10-25,3,-19.100728999999998
603011,合锻智能,2019-11-08,2019-09-30,6,-18.935601
000056,皇庭国际,2019-11-01,2019-09-30,5,-18.748635
603701,德宏股份,2019-11-01,2019-09-30,5,-18.735770000000002
002622,融钰集团,2019-11-01,2019-10-25,2,-18.511366
603386,广东骏亚,2019-09-30,2019-09-30,1,-18.498689
603666,亿嘉和,2019-11-08,2019-11-08,1,-18.461222999999997
600745,闻泰科技,2019-10-18,2019-09-30,3,-18.405417999999997
603556,海兴电力,2019-11-08,2019-09-30,6,-18.404913999999998
002699,美盛文化,2019-11-08,2019-11-01,2,-18.355331
600223,鲁商发展,2019-11-08,2019-11-08,1,-18.355051
000409,*ST地矿,2019-11-08,2019-09-30,6,-18.306562999999997
002049,紫光国微,2019-11-08,2019-09-30,6,-18.303899
000070,特发信息,2019-11-01,2019-09-30,5,-18.226573000000002
002640,跨境通,2019-11-08,2019-09-30,6,-18.159231
603133,碳元科技,2019-11-01,2019-09-30,5,-18.119341
603888,新华网,2019-10-25,2019-09-30,4,-18.117914
002668,奥马电器,2019-10-25,2019-10-11,3,-18.052944
603799,华友钴业,2019-10-25,2019-10-11,3,-18.021873
002881,美格智能,2019-11-08,2019-09-30,6,-17.988106000000002
600821,津劝业,2019-11-01,2019-09-30,5,-17.915338
000687,华讯方舟,2019-11-01,2019-09-30,5,-17.910314
002830,名雕股份,2019-11-08,2019-09-30,6,-17.849113000000003
603127,昭衍新药,2019-11-08,2019-11-01,2,-17.795796
002587,奥拓电子,2019-10-18,2019-09-30,3,-17.754742
002451,摩恩电气,2019-11-01,2019-11-01,1,-17.737102
600896,览海投资,2019-11-01,2019-09-30,5,-17.733047999999997
603129,春风动力,2019-11-01,2019-10-25,2,-17.687435999999998
603060,国检集团,2019-11-01,2019-11-01,1,-17.563245000000002
600136,当代明诚,2019-11-08,2019-09-30,6,-17.557443000000003
600095,哈高科,2019-11-08,2019-09-30,6,-17.551422000000002
000799,酒鬼酒,2019-11-01,2019-10-11,4,-17.507801
600703,三安光电,2019-10-18,2019-09-30,3,-17.395903
603000,人民网,2019-11-08,2019-09-30,6,-17.340428
600273,嘉化能源,2019-11-08,2019-09-30,6,-17.297379
600732,ST新梅,2019-10-18,2019-09-30,3,-17.267171
600571,信雅达,2019-10-18,2019-09-30,3,-17.123522
002583,海能达,2019-11-08,2019-09-30,6,-17.103659
601137,博威合金,2019-11-08,2019-09-30,6,-16.970275
603920,世运电路,2019-10-25,2019-09-30,4,-16.890103
002017,东信和平,2019-11-08,2019-09-30,6,-16.804263
002855,捷荣技术,2019-10-18,2019-09-30,3,-16.762322
601872,招商轮船,2019-11-08,2019-10-25,3,-16.726619
600845,宝信软件,2019-11-01,2019-10-25,2,-16.723693
000547,航天发展,2019-10-25,2019-09-30,4,-16.7016
600882,妙可蓝多,2019-11-01,2019-10-18,3,-16.569033
000158,常山北明,2019-11-08,2019-11-08,1,-16.545753
600203,福日电子,2019-11-08,2019-10-25,3,-16.477895
002876,三利谱,2019-11-08,2019-09-30,6,-16.397286
002664,长鹰信质,2019-11-08,2019-09-30,6,-16.327547
002384,东山精密,2019-10-18,2019-09-30,3,-16.305866
000049,德赛电池,2019-11-01,2019-09-30,5,-16.301236
002683,宏大爆破,2019-10-18,2019-09-30,3,-16.292568
000068,华控赛格,2019-11-08,2019-10-25,3,-16.267376
603706,东方环宇,2019-10-25,2019-10-25,1,-16.213346
600536,中国软件,2019-11-08,2019-09-30,6,-16.140563999999998
002121,科陆电子,2019-11-08,2019-09-30,6,-16.090166999999997
002185,华天科技,2019-10-18,2019-09-30,3,-15.993977000000001
600491,龙元建设,2019-11-08,2019-11-08,1,-15.988124
002095,生 意 宝,2019-11-08,2019-09-30,6,-15.984514
002379,宏创控股,2019-11-08,2019-09-30,6,-15.879677000000001
603383,顶点软件,2019-11-08,2019-09-30,6,-15.836428
002268,卫 士 通,2019-10-25,2019-09-30,4,-15.777037
603333,尚纬股份,2019-09-30,2019-09-30,1,-15.710561
002369,卓翼科技,2019-10-25,2019-09-30,4,-15.677988
000673,当代东方,2019-09-30,2019-09-30,1,-15.642804
603881,数据港,2019-11-01,2019-09-30,5,-15.595666999999999
000017,深中华A,2019-11-08,2019-09-30,6,-15.530242000000001
600371,万向德农,2019-11-08,2019-09-30,6,-15.470620999999998
002234,民和股份,2019-09-30,2019-09-30,1,-15.384909
002138,顺络电子,2019-10-18,2019-09-30,3,-15.362030999999998
600588,用友网络,2019-11-01,2019-09-30,5,-15.341305
603031,安德利,2019-09-30,2019-09-30,1,-15.313348999999999
601949,中国出版,2019-11-08,2019-09-30,6,-15.290472999999999
603882,金域医学,2019-10-25,2019-10-25,1,-15.223758
603228,景旺电子,2019-11-01,2019-09-30,5,-15.156446999999998
002565,顺灏股份,2019-11-08,2019-10-25,3,-15.105608999999998
002733,雄韬股份,2019-10-18,2019-09-30,3,-14.879187000000002
600651,飞乐音响,2019-11-08,2019-09-30,6,-14.710811999999999
603996,ST中新,2019-11-08,2019-11-08,1,-14.629975
002660,茂硕电源,2019-11-08,2019-09-30,6,-14.613012
600211,西藏药业,2019-11-01,2019-10-25,2,-14.580669
603998,方盛制药,2019-09-30,2019-09-30,1,-14.553104000000001
002481,双塔食品,2019-11-08,2019-11-01,2,-14.437857
002409,雅克科技,2019-11-08,2019-10-11,5,-14.417871000000002
002808,恒久科技,2019-10-18,2019-09-30,3,-14.301032
002243,通产丽星,2019-11-08,2019-11-01,2,-14.264843000000003
000410,*ST沈机,2019-11-01,2019-09-30,5,-14.223308
002364,中恒电气,2019-11-01,2019-10-25,2,-14.172335
600696,ST岩石,2019-11-08,2019-09-30,6,-14.145629999999999
603797,联泰环保,2019-11-08,2019-09-30,6,-14.084829
603136,天目湖,2019-10-11,2019-10-11,1,-14.049959
603919,金徽酒,2019-10-18,2019-10-11,2,-14.001424
002642,*ST荣联,2019-11-08,2019-10-25,3,-13.920997
002273,水晶光电,2019-10-18,2019-10-11,2,-13.892637
603289,泰瑞机器,2019-11-01,2019-09-30,5,-13.851835000000001
600666,*ST瑞德,2019-11-08,2019-09-30,6,-13.824815000000001
000818,航锦科技,2019-11-01,2019-09-30,5,-13.652643000000001
603180,金牌厨柜,2019-11-01,2019-10-11,4,-13.636899999999999
603308,应流股份,2019-11-08,2019-10-25,3,-13.598955
002048,宁波华翔,2019-10-18,2019-09-30,3,-13.564696999999999
600818,中路股份,2019-09-30,2019-09-30,1,-13.530812
000977,浪潮信息,2019-10-18,2019-09-30,3,-13.29634
002850,科达利,2019-10-18,2019-10-11,2,-13.263440000000001
000034,神州数码,2019-10-25,2019-09-30,4,-13.13166
603186,华正新材,2019-09-30,2019-09-30,1,-13.011488
002156,通富微电,2019-10-18,2019-10-11,2,-12.976948
601231,环旭电子,2019-10-25,2019-09-30,4,-12.932749
600081,东风科技,2019-11-01,2019-11-01,1,-12.898013
600446,金证股份,2019-10-25,2019-09-30,4,-12.701554999999999
603233,大参林,2019-11-08,2019-11-01,2,-12.536564000000002
603717,天域生态,2019-11-08,2019-11-08,1,-12.529051
600589,广东榕泰,2019-11-08,2019-09-30,6,-12.489124
002600,领益智造,2019-09-30,2019-09-30,1,-12.471021
603999,读者传媒,2019-09-30,2019-09-30,1,-12.429139
002194,武汉凡谷,2019-11-08,2019-09-30,6,-12.399732
000625,长安汽车,2019-10-18,2019-09-30,3,-12.092776
002655,共达电声,2019-10-11,2019-09-30,2,-12.048744
002501,*ST利源,2019-11-01,2019-10-25,2,-12.026718000000002
601058,赛轮轮胎,2019-10-25,2019-10-25,1,-12.01916
603444,吉比特,2019-11-08,2019-11-01,2,-11.9957
600518,ST康美,2019-11-08,2019-10-25,3,-11.991818
002124,天邦股份,2019-11-08,2019-11-08,1,-11.959708
000662,天夏智慧,2019-09-30,2019-09-30,1,-11.958751
002161,远 望 谷,2019-09-30,2019-09-30,1,-11.830608999999999
601360,三六零,2019-10-25,2019-10-25,1,-11.786377000000002
002214,大立科技,2019-11-01,2019-09-30,5,-11.781167
603300,华铁科技,2019-11-08,2019-10-25,3,-11.777292
603501,韦尔股份,2019-10-18,2019-09-30,3,-11.767302
002129,中环股份,2019-10-25,2019-10-25,1,-11.657642000000001
600093,易见股份,2019-10-18,2019-09-30,3,-11.634273
603197,保隆科技,2019-10-18,2019-09-30,3,-11.605129
600850,华东电脑,2019-10-18,2019-09-30,3,-11.502389
002886,沃特股份,2019-11-08,2019-10-25,3,-11.384622
603848,好太太,2019-11-08,2019-09-30,6,-11.297296
002212,南洋股份,2019-11-08,2019-09-30,6,-11.236719
000892,欢瑞世纪,2019-09-30,2019-09-30,1,-11.202995
000048,*ST康达,2019-10-18,2019-10-11,2,-11.175280999999998
000599,青岛双星,2019-11-08,2019-10-25,3,-11.059859
603606,东方电缆,2019-11-01,2019-10-25,2,-10.969028999999999
603648,畅联股份,2019-10-18,2019-09-30,3,-10.949385999999999
601066,中信建投,2019-11-01,2019-10-25,2,-10.925263999999999
600143,金发科技,2019-09-30,2019-09-30,1,-10.912399
002008,大族激光,2019-09-30,2019-09-30,1,-10.855222000000001
002414,高德红外,2019-11-08,2019-10-18,4,-10.840396
600378,昊华科技,2019-11-01,2019-10-25,2,-10.832856
002771,真视通,2019-11-08,2019-09-30,6,-10.796249000000001
002835,同为股份,2019-11-08,2019-11-01,2,-10.776413000000002
603595,东尼电子,2019-11-08,2019-11-01,2,-10.706886
002528,英飞拓,2019-09-30,2019-09-30,1,-10.673032000000001
600084,*ST中葡,2019-11-08,2019-11-01,2,-10.506006
603688,石英股份,2019-11-01,2019-10-11,4,-10.442586
002777,久远银海,2019-11-08,2019-10-25,3,-10.436467
002611,东方精工,2019-10-25,2019-10-25,1,-10.42804
002512,达华智能,2019-11-08,2019-11-08,1,-10.402646
002531,天顺风能,2019-11-08,2019-10-11,5,-10.385653000000001
603198,迎驾贡酒,2019-10-25,2019-10-11,3,-10.338237
002317,众生药业,2019-11-08,2019-09-30,6,-10.168728999999999
600452,涪陵电力,2019-11-08,2019-11-01,2,-10.144876
002837,英维克,2019-11-01,2019-09-30,5,-10.063513
600640,号百控股,2019-11-08,2019-11-08,1,-10.049797000000002
601717,郑煤机,2019-10-25,2019-09-30,4,-10.044373
