code,name,start_date,end_date,days,p_change
603208,江山欧派,2019-11-08,2019-10-25,3,38.738032999999994
600556,ST慧球,2019-11-08,2019-10-25,3,34.98387
603197,保隆科技,2019-11-08,2019-10-25,3,34.327044
600797,浙大网新,2019-11-01,2019-10-25,2,34.12530700000001
000676,智度股份,2019-11-01,2019-10-25,2,32.336366999999996
601633,长城汽车,2019-11-08,2019-10-25,3,27.638579
601689,拓普集团,2019-11-08,2019-10-25,3,20.067051
002798,帝欧家居,2019-11-08,2019-11-01,2,20.058553
002044,美年健康,2019-11-08,2019-11-01,2,19.628783
000529,广弘控股,2019-11-01,2019-10-25,2,18.798898
600071,凤凰光学,2019-11-08,2019-10-25,3,17.980446999999998
600602,云赛智联,2019-11-01,2019-10-25,2,17.587641
002729,好利来,2019-11-01,2019-10-25,2,17.316859
002242,九阳股份,2019-11-08,2019-11-01,2,16.349308
603611,诺力股份,2019-11-08,2019-10-25,3,15.672787
002812,恩捷股份,2019-11-08,2019-11-01,2,14.148246
600421,*ST仰帆,2019-11-01,2019-10-25,2,14.045290999999999
600702,舍得酒业,2019-11-08,2019-11-01,2,13.728208
000910,大亚圣象,2019-11-08,2019-10-25,3,13.69895
601808,中海油服,2019-11-08,2019-10-25,3,13.413782000000001
600993,马应龙,2019-11-08,2019-11-01,2,13.043726
002415,海康威视,2019-11-08,2019-10-25,3,12.522127000000001
601139,深圳燃气,2019-11-08,2019-11-01,2,12.362568999999999
600201,生物股份,2019-11-08,2019-10-25,3,12.243393
