code,name,start_date,end_date,days,p_change
002892,科力尔,2019-11-08,2019-11-01,2,-55.036122000000006
603318,派思股份,2019-11-08,2019-10-25,3,-49.647183
603787,新日股份,2019-11-08,2019-11-08,1,-49.227441
603603,博天环境,2019-11-08,2019-11-01,2,-42.697905999999996
601595,上海电影,2019-11-08,2019-10-11,5,-38.568344
002486,嘉麟杰,2019-11-08,2019-11-01,2,-37.798364
002552,宝鼎科技,2019-11-08,2019-10-25,3,-36.390375999999996
600212,江泉实业,2019-11-08,2019-11-01,2,-34.935504
000677,恒天海龙,2019-11-01,2019-11-01,1,-30.239215
600242,中昌数据,2019-11-08,2019-11-08,1,-29.396143000000002
002786,银宝山新,2019-11-01,2019-10-11,4,-29.334708
603607,京华激光,2019-11-01,2019-10-25,2,-28.710407
600122,宏图高科,2019-11-08,2019-10-11,5,-28.642328
002902,铭普光磁,2019-11-08,2019-10-11,5,-27.311987000000002
603936,博敏电子,2019-11-08,2019-10-25,3,-26.208484000000002
002800,天顺股份,2019-11-01,2019-10-25,2,-25.056658999999996
000532,华金资本,2019-11-01,2019-11-01,1,-24.763747
600004,白云机场,2019-11-08,2019-10-25,3,-24.656834
002537,海联金汇,2019-10-25,2019-10-25,1,-23.182532000000002
002487,大金重工,2019-11-01,2019-10-25,2,-23.090818000000002
603738,泰晶科技,2019-11-08,2019-10-25,3,-22.946845
000636,风华高科,2019-11-08,2019-10-25,3,-22.319405000000003
603978,深圳新星,2019-11-08,2019-10-11,5,-21.857426999999998
600416,湘电股份,2019-11-08,2019-11-08,1,-21.855504
002515,金字火腿,2019-11-08,2019-11-01,2,-21.848249000000003
002456,欧菲光,2019-10-18,2019-10-11,2,-21.540665
002524,光正集团,2019-11-08,2019-11-01,2,-21.304443
603283,赛腾股份,2019-11-01,2019-10-18,3,-21.116831
002905,金逸影视,2019-11-08,2019-10-18,4,-20.79231
002169,智光电气,2019-10-18,2019-10-11,2,-20.557078
