,code,name,type,report_date,pre_eps,range
141,002498,汉缆股份,预增,2019-08-28,0.04,110.03%~159.03%
231,300218,安利股份,预增,2019-08-27,0.0151,1093.2%~1120.67%
119,002463,沪电股份,预增,2019-08-29,0.2289,108.76%~134.86%
79,002249,大洋电机,预增,2019-08-30,0.06,102.91%~127.1%
247,002487,大金重工,预增,2019-08-26,0.0845,100%~150%
358,002625,光启技术,预增,2019-08-21,0.02,100%~150%
198,002414,高德红外,预增,2019-08-27,0.1551,100%~150%
286,002154,报喜鸟,预增,2019-08-24,0.06,100%~150%
296,002243,通产丽星,预增,2019-08-23,0.1488,10.51%~56.56%
399,002236,大华股份,预升,2019-08-17,0.54,10%~25%
340,002594,比亚迪,预升,2019-08-22,0.49,1.83%~14.93%
421,603093,南华期货,预升,2019-08-13,0.0,1.73
70,002833,弘亚数控,预升,2019-08-30,1.83,0.78%~8.84%
147,002514,宝馨科技,预增,2019-08-28,0.1396,0%~50%
339,002049,紫光国微,预升,2019-08-22,0.4742,0%~30%
456,002415,海康威视,预升,2019-07-20,0.8059999999999999,0%~15%
416,600778,友好集团,预增,2019-08-14,0.2588,0
436,603008,喜临门,预增,2019-08-08,0.4,0
417,600868,梅雁吉祥,预增,2019-08-13,0.0097,0
445,600880,博瑞传播,预升,2019-07-31,0.02,0
447,603309,维力医疗,预增,2019-07-30,0.21,0
423,600266,北京城建,预增,2019-08-10,0.3718,0
299,603508,思维列控,预增,2019-08-23,0.84,0
401,603033,三维股份,预增,2019-08-16,0.57,0
188,603398,邦宝益智,预升,2019-08-28,0.15,0
7,600587,新华医疗,预增,2019-08-31,0.38,0
11,600469,风神股份,预增,2019-08-31,0.003,0
47,600662,强生控股,预升,2019-08-30,0.0384,0
54,603160,汇顶科技,预增,2019-08-30,0.7,0
107,600984,建设机械,预升,2019-08-29,0.1407,0
115,603360,百傲化学,预增,2019-08-29,0.58,0
145,600727,鲁北化工,预增,2019-08-28,0.24,0
175,600760,中航沈飞,预升,2019-08-28,0.22,0
178,601615,明阳智能,预增,2019-08-28,0.0,0
179,603068,博通集成,预增,2019-08-28,0.0,0
400,300017,网宿科技,预升,2019-08-17,0.2524,0
182,601163,三角轮胎,预增,2019-08-28,0.41,0
203,600287,江苏舜天,预增,2019-08-27,0.1683,0
204,601567,三星医疗,预增,2019-08-27,0.29,0
263,600894,广日股份,预增,2019-08-24,0.3025,0
267,600171,上海贝岭,预增,2019-08-24,0.126,0
290,601958,金钼股份,预升,2019-08-23,0.07,0
295,603586,金麒麟,预增,2019-08-23,0.37,0
351,600456,宝钛股份,预增,2019-08-21,0.225,0
379,600794,保税科技,预增,2019-08-20,0.024,0
381,603315,福鞍股份,预增,2019-08-20,0.0368,0
384,600866,星湖科技,预增,2019-08-20,0.0495,0
457,603333,尚纬股份,预增,2019-07-20,0.099,0
454,002957,科瑞技术,预升,2019-07-25,0.0,-5%~11%
102,002044,美年健康,预升,2019-08-29,0.13,-31.14%~1.48%
240,002389,航天彩虹,预升,2019-08-27,0.09,-20%~10%
