code,profitForcastExpPubDate,profitForcastExpStatDate,profitForcastType,profitForcastChgPctUp,profitForcastChgPctDwn,name,industry,outstanding
000851,2020-01-31,2019-12-31,预增,123.76,50.16,高鸿股份,软件服务,8.71
000850,2020-01-22,2019-12-31,预增,110.67,51.68,华茂股份,纺织,9.43
002591,2019-10-18,2019-12-31,预增,272.4,186.46,恒大高新,化工原料,1.89
002605,2020-02-03,2019-12-31,预增,210.0,160.0,姚记科技,文教休闲,2.7
002607,2020-01-23,2019-12-31,预增,57.86,49.19,中公教育,文教休闲,6.67
002609,2019-10-22,2019-12-31,预增,80.0,40.0,捷顺科技,软件服务,3.67
000876,2020-01-23,2019-12-31,预增,194.49,181.58,新 希 望,饲料,42.0
002616,2019-10-30,2019-12-31,预增,100.0,60.0,长青集团,环境保护,4.59
002621,2020-01-31,2019-12-31,预增,438.8,280.33,美吉姆,文教休闲,5.44
000810,2020-01-31,2019-12-31,预增,111.06,65.83,创维数字,家用电器,9.82
002625,2019-10-31,2019-12-31,预增,110.0,60.0,光启技术,汽车配件,5.11
002628,2019-10-23,2019-12-31,预增,120.0,70.0,成都路桥,建筑工程,7.33
002628,2020-01-22,2019-12-31,预增,120.0,70.0,成都路桥,建筑工程,7.33
002634,2019-10-25,2019-12-31,预增,125.0,75.0,棒杰股份,服饰,3.16
002637,2020-01-16,2019-12-31,预增,127.99,79.7,赞宇科技,日用化工,3.73
002639,2019-10-29,2019-12-31,预增,289.47,257.01,雪人股份,专用机械,5.32
000811,2020-01-17,2019-12-31,预增,74.0,38.0,冰轮环境,工程机械,7.46
000715,2019-10-24,2019-12-31,预增,80.53,29.58,中兴商业,百货,4.15
002451,2019-10-28,2019-12-31,预增,424.85,365.21,摩恩电气,电气设备,4.16
002438,2020-01-16,2019-12-31,预增,90.0,60.0,江苏神通,机械基件,4.02
002250,2020-01-23,2019-12-31,预增,392.92,259.7,联化科技,化工原料,8.97
002263,2020-01-22,2019-12-31,预增,57.16,4.77,*ST东南,塑料,18.78
002123,2019-10-28,2019-12-31,预增,536.37,326.37,梦网集团,互联网,6.62
002112,2020-01-20,2019-12-31,预增,82.95,35.22,三变科技,电气设备,1.99
002272,2020-01-18,2019-12-31,预增,77.83,33.37,川润股份,机械基件,3.25
002276,2019-10-28,2019-12-31,预增,100.0,80.0,万马股份,电气设备,10.34
002278,2019-10-24,2019-12-31,预增,60.0,40.0,神开股份,化工机械,3.44
002107,2020-01-09,2019-12-31,预增,142.0,95.0,沃华医药,中成药,3.49
002291,2019-10-28,2019-12-31,预增,2138.74,1579.05,星期六,服饰,3.99
002296,2019-10-26,2019-12-31,预增,224.52,152.41,辉煌科技,通信设备,3.29
002298,2020-01-21,2019-12-31,预增,100.0,50.0,中电兴发,软件服务,5.28
002299,2019-10-19,2019-12-31,预增,152.74,146.1,圣农发展,农业综合,11.11
002299,2020-01-04,2019-12-31,预增,178.98,171.01,圣农发展,农业综合,11.11
002300,2020-01-14,2019-12-31,预增,85.0,55.0,太阳电缆,电气设备,5.97
002302,2020-01-08,2019-12-31,预增,133.0,83.0,西部建设,水泥,12.39
002105,2020-01-22,2019-12-31,预增,376.0,220.0,信隆健康,文教休闲,3.69
002100,2020-01-17,2019-12-31,预增,123.12,91.25,天康生物,饲料,10.64
002244,2019-10-21,2019-12-31,预增,60.0,30.0,滨江集团,区域地产,27.03
002243,2020-01-22,2019-12-31,预增,588.172501,472.46207999999996,通产丽星,塑料,3.65
002241,2019-10-24,2019-12-31,预增,55.0,35.0,歌尔股份,元器件,27.66
002239,2020-02-03,2019-12-31,预增,204.73,110.16,奥特佳,汽车配件,30.92
002163,2020-01-11,2019-12-31,预增,68.46,22.52,中航三鑫,装修装饰,8.03
002165,2019-10-23,2019-12-31,预增,175.0,130.0,红 宝 丽,化工原料,5.93
002170,2020-01-23,2019-12-31,预增,278.88,170.63,芭田股份,农药化肥,6.93
002154,2019-10-31,2019-12-31,预增,360.0,310.0,报 喜 鸟,服饰,11.07
002181,2020-01-22,2019-12-31,预增,83.35,37.51,粤 传 媒,出版业,11.34
002182,2019-10-24,2019-12-31,预增,118.51,100.3,云海金属,小金属,4.89
002182,2020-01-20,2019-12-31,预增,157.96,142.79,云海金属,小金属,4.89
002204,2020-01-11,2019-12-31,预增,257.31,140.37,大连重工,专用机械,19.31
002084,2019-10-23,2019-12-31,预增,257.59,158.46,海鸥住工,家居用品,4.91
002135,2020-01-22,2019-12-31,预增,70.0,50.0,东南网架,建筑工程,9.59
002213,2020-01-22,2019-12-31,预增,70.16,13.44,特 尔 佳,汽车配件,2.06
002214,2019-10-31,2019-12-31,预增,180.0,130.0,大立科技,电器仪表,3.57
002216,2019-12-20,2019-12-31,预增,110.0,80.0,三全食品,食品,5.65
002224,2019-10-25,2019-12-31,预增,60.0,10.0,三 力 士,橡胶,5.29
002226,2019-10-23,2019-12-31,预增,90.0,60.0,江南化工,化工原料,9.58
002229,2019-10-31,2019-12-31,预增,638.85,522.19,鸿博股份,广告包装,4.1
002230,2020-02-03,2019-12-31,预增,65.0,35.0,科大讯飞,软件服务,18.51
002234,2020-01-21,2019-12-31,预增,333.47,320.33,民和股份,农业综合,2.06
002130,2019-10-25,2019-12-31,预增,950.0,900.0,沃尔核材,电气设备,9.94
000976,2020-01-17,2019-12-31,预增,127.0,120.0,华铁股份,运输设备,15.94
002315,2020-01-23,2019-12-31,预增,190.0,150.0,焦点科技,互联网,1.17
002318,2019-10-30,2019-12-31,预增,80.0,60.0,久立特材,特种钢,8.18
002015,2020-01-16,2019-12-31,预增,95.88,50.68,协鑫能科,新型电力,4.01
002012,2020-01-21,2019-12-31,预增,106.0,53.0,凯恩股份,造纸,4.66
002010,2020-01-17,2019-12-31,预增,91.7,70.94,传化智联,仓储物流,31.83
002387,2020-01-21,2019-12-31,预增,136.72,58.78,维信诺,元器件,10.68
002388,2020-01-10,2019-12-31,预增,71.0,39.91,新亚制程,元器件,4.0
002395,2019-10-25,2019-12-31,预增,80.0,30.0,双象股份,塑料,1.79
002398,2019-10-22,2019-12-31,预增,75.0,35.0,垒知集团,其他建材,5.3
002399,2020-01-23,2019-12-31,预增,83.38,54.17,海普瑞,化学制药,12.47
002409,2019-10-31,2019-12-31,预增,103.16,80.59,雅克科技,化工原料,2.38
002414,2019-10-29,2019-12-31,预增,100.0,50.0,高德红外,电器仪表,7.34
001872,2020-01-20,2019-12-31,预增,197.25,143.85,招商港口,港口,4.65
002429,2019-10-30,2019-12-31,预增,120.0,80.0,兆驰股份,家用电器,44.96
002429,2020-02-03,2019-12-31,预增,180.0,120.0,兆驰股份,家用电器,44.96
000999,2019-10-30,2019-12-31,预增,57.11,47.34,华润三九,中成药,9.78
002432,2020-01-14,2019-12-31,预增,530.58,372.93,九安医疗,医疗保健,4.33
000988,2020-01-20,2019-12-31,预增,90.4,72.77,华工科技,电器仪表,10.05
000987,2020-01-18,2019-12-31,预增,165.0,150.0,越秀金控,多元金融,26.67
002382,2019-10-31,2019-12-31,预增,60.0,30.0,蓝帆医疗,医疗保健,6.4
002381,2020-01-21,2019-12-31,预增,70.0,50.0,双箭股份,橡胶,3.13
002379,2020-01-22,2019-12-31,预增,4135.06,3160.62,宏创控股,铝,9.26
002028,2019-10-25,2019-12-31,预增,100.0,50.0,思源电气,电气设备,5.87
002324,2019-10-23,2019-12-31,预增,120.0,80.0,普利特,塑料,3.07
002324,2020-01-08,2019-12-31,预增,180.0,130.0,普利特,塑料,3.07
002331,2020-01-21,2019-12-31,预增,80.0,40.0,皖通科技,软件服务,3.37
002335,2019-10-24,2019-12-31,预增,90.0,40.0,科华恒盛,电气设备,2.23
002335,2020-01-31,2019-12-31,预增,185.0,135.0,科华恒盛,电气设备,2.23
002345,2019-10-31,2019-12-31,预增,200.0,100.0,潮宏基,服饰,8.79
002346,2020-01-21,2019-12-31,预增,97.36,54.46,柘中股份,电气设备,3.95
002351,2019-10-23,2019-12-31,预增,110.0,70.0,漫步者,IT设备,2.91
002082,2020-01-18,2019-12-31,预增,149.76,78.4,万邦德,铝,2.38
002353,2020-02-03,2019-12-31,预增,133.0,113.0,杰瑞股份,化工机械,6.66
002064,2020-01-22,2019-12-31,预增,304.29,236.91,华峰氨纶,化纤,15.56
002357,2020-01-23,2019-12-31,预增,130.0,80.0,富临运业,公路,3.13
002361,2020-01-21,2019-12-31,预增,80.0,50.0,神剑股份,化工原料,6.25
002362,2019-10-24,2019-12-31,预增,152.13,76.49,汉王科技,IT设备,1.79
002364,2019-10-30,2019-12-31,预增,80.0,50.0,中恒电气,电气设备,5.15
002054,2019-10-31,2019-12-31,预增,159.88,110.19,德美化工,化工原料,3.13
002367,2019-10-25,2019-12-31,预增,1572.26,1443.63,康力电梯,运输设备,5.24
002053,2019-10-26,2019-12-31,预增,113.34,87.21,云南能投,食品,3.72
002357,2019-10-25,2019-12-31,预增,170.0,120.0,富临运业,公路,3.13
002714,2020-01-15,2019-12-31,预增,1130.28,1053.38,牧原股份,农业综合,11.67
002666,2020-01-15,2019-12-31,预增,70.0,40.0,德联集团,化工原料,4.44
002732,2019-10-22,2019-12-31,预增,270.0,190.0,燕塘乳业,乳制品,1.56
600171,2020-01-21,2019-12-31,预增,69.0,55.0,上海贝岭,半导体,6.74
600178,2020-01-21,2019-12-31,预增,258.54,79.0,东安动力,汽车配件,4.62
000589,2020-01-14,2019-12-31,预增,87.13,47.44,贵州轮胎,汽车配件,7.75
000582,2020-01-31,2019-12-31,预增,73.61,42.04,北部湾港,港口,5.96
600202,2020-01-21,2019-12-31,预增,150.0,130.0,哈空调,电气设备,3.83
000573,2020-01-11,2019-12-31,预增,55.63,5.67,粤宏远Ａ,区域地产,6.29
000565,2020-01-22,2019-12-31,预增,60.0,40.0,渝三峡Ａ,染料涂料,4.34
600157,2020-01-17,2019-12-31,预增,157.89,112.38,永泰能源,煤炭开采,124.26
600218,2020-01-22,2019-12-31,预增,156.0,136.0,全柴动力,农用机械,3.69
000563,2020-01-04,2019-12-31,预增,81.4,81.4,陕国投Ａ,多元金融,39.64
000555,2019-10-22,2019-12-31,预增,850.2,755.18,神州信息,软件服务,9.41
