,name,code,start_date,end_date,days,p_change,totals,pe,rank
25,恒力石化,600346,2019-09-03,0,0,10,70.39,12.01,9.655877684527518
22,联美控股,600167,2019-09-03,0,0,10,22.88,16.34,8.728118476247058
31,中国国旅,601888,2019-09-03,0,0,10,19.52,20.21,8.162162885303804
40,鸿远电子,603267,2019-09-03,0,0,10,1.65,27.32,8.052620283624247
30,隆基股份,601012,2019-09-03,0,0,10,36.24,24.93,7.602458227555246
44,绝味食品,603517,2019-09-03,0,0,10,5.74,29.77,7.471205227011385
38,景旺电子,603228,2019-09-03,0,0,10,6.02,32.42,7.29528355475767
21,上海机场,600009,2019-08-28,0,0,10,19.27,30.0,7.273994856738962
1,长春高新,000661,2019-08-30,0,0,10,1.7,41.16,7.26990365467608
48,家家悦,603708,2019-09-03,0,0,10,6.08,33.57,7.227655227738948
10,中顺洁柔,002511,2019-09-02,0,0,10,13.06,32.29,7.177596966510243
3,韵达股份,002120,2019-09-03,0,0,10,22.27,31.53,7.160936461741565
37,菲林格尔,603226,2019-09-03,0,0,10,1.51,47.8,7.093429636344476
45,珀莱雅,603605,2019-09-03,0,0,10,2.01,46.55,6.993331141556389
39,大参林,603233,2019-09-02,0,0,10,5.2,40.02,6.947844872804411
4,中航光电,002179,2019-09-03,0,0,10,10.28,38.89,6.874415398009169
6,海大集团,002311,2019-09-03,0,0,10,15.81,38.71,6.82482814331474
0,汇顶科技,603160,2019-09-03,0,0,10,4.56,44.17,6.81496894957402
8,沪电股份,002463,2019-09-03,0,0,10,17.25,38.92,6.805217813409696
29,长江电力,600900,2019-08-29,0,0,10,220.0,35.12,6.79896647728518
18,深南电路,002916,2019-09-03,0,0,10,3.39,47.51,6.777351012260748
47,健友股份,603707,2019-09-03,0,0,10,7.18,42.74,6.774877745721805
52,益丰药房,603939,2019-09-03,0,0,10,3.79,47.12,6.75926492266746
13,凯莱英,002821,2019-09-03,0,0,10,2.31,55.29,6.679502021957096
20,白云机场,600004,2019-09-03,0,0,10,20.69,43.27,6.608115535666052
2,华兰生物,002007,2019-09-03,0,0,10,14.03,45.11,6.586655787973943
23,生益科技,600183,2019-09-03,0,0,10,22.76,44.09,6.567814641744141
28,宝信软件,600845,2019-09-03,0,0,10,11.41,46.61,6.5628755035865245
14,视源股份,002841,2019-09-03,0,0,10,6.56,49.75,6.553156008601064
9,立讯精密,002475,2019-09-03,0,0,10,53.49,43.6,6.511460951305742
15,金溢科技,002869,2019-09-03,0,0,10,1.18,83.71,6.498076056471925
50,桃李面包,603866,2019-09-03,0,0,10,6.59,52.44,6.473918190429577
42,集友股份,603429,2019-09-03,0,0,10,2.66,62.03,6.468280963615961
46,安图生物,603658,2019-09-03,0,0,10,4.2,56.8,6.45642645541361
17,科力尔,002892,2019-09-03,0,0,10,1.42,79.35,6.439144736277982
51,金域医学,603882,2019-09-03,0,0,10,4.58,66.3,6.225323087013359
41,海天味业,603288,2019-09-03,0,0,10,27.0,56.3,6.1820361436708655
27,通策医疗,600763,2019-09-03,0,0,10,3.21,76.29,6.141724872955807
19,鹏鼎控股,002938,2019-09-03,0,0,10,23.11,64.36,6.013874572020862
33,博通集成,603068,2019-09-03,0,0,10,1.39,127.3,5.9386510065691995
35,昭衍新药,603127,2019-09-03,0,0,10,1.61,120.09,5.912833940492214
24,恒瑞医药,600276,2019-09-03,0,0,10,44.23,73.38,5.786766052707874
32,广州酒家,603043,2019-09-03,0,0,10,4.04,107.31,5.690632592146331
11,中公教育,002607,2019-09-03,0,0,10,61.67,96.07,5.445673516576233
16,美格智能,002881,2019-09-03,0,0,10,1.81,235.8,5.260201235235708
34,剑桥科技,603083,2019-08-21,0,0,10,1.67,343.37,5.028554863651495
36,济民制药,603222,2019-09-03,0,0,10,3.2,306.73,4.851784868113028
7,广联达,002410,2019-09-03,0,0,10,11.27,227.09,4.815262303215973
5,九鼎新材,002201,2019-09-03,0,0,10,3.32,808.56,4.258729366105385
43,韦尔股份,603501,2019-09-03,0,0,10,8.64,1503.97,3.758826488847395
49,三棵树,603737,2019-09-03,0,0,10,1.86,10000.0,3.5325427014415935
26,中国软件,600536,2019-09-03,0,0,10,4.95,10000.0,3.2175787841616392
12,牧原股份,002714,2019-09-03,0,0,10,20.85,10000.0,2.9955214612641656
