,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
45,浙江广厦,600052,2019-09-12,0,0,3,8.72,1.58,26.579796540620336,25.168998884732144,1.4107976558881914
75,春风动力,603129,2019-09-12,0,0,3,1.34,15.69,7.491939888002202,4.181920417987058,3.310019470015144
87,亿嘉和,603666,2019-09-16,0,0,3,0.98,39.67,7.398341410173459,3.128006404228298,4.270335005945161
21,宏创控股,002379,2019-09-16,0,0,3,9.26,7.01,7.29743449600639,5.912136071100141,1.3852984249062488
36,微光股份,002801,2019-09-16,0,0,3,1.18,23.4,7.294690766859528,3.6517251629392073,3.64296560392032
69,郑煤机,601717,2019-09-16,0,0,3,17.32,6.7,7.21844655587545,6.052720629721003,1.1657259261544468
55,深高速,600548,2019-09-16,0,0,3,21.81,6.63,7.187783928223707,6.086327037984478,1.1014568902392297
34,利民股份,002734,2019-09-11,0,0,3,2.84,10.99,6.952606207370774,4.803084614298971,2.149521593071803
5,华润三九,000999,2019-09-11,0,0,3,9.79,8.39,6.775136777851987,5.412649808089668,1.3624869697623194
84,康辰药业,603590,2019-09-11,0,0,3,1.6,20.7,6.735295292782012,3.7994777141151697,2.935817578666842
2,大冶特钢,000708,2019-09-12,0,0,3,4.49,11.04,6.564908593869561,4.7940060041599075,1.7709025897096533
53,涪陵电力,600452,2019-09-11,0,0,3,3.14,13.52,6.474238382465524,4.420957599843755,2.053280782621769
44,恒铭达,002947,2019-09-16,0,0,3,1.22,54.39,6.430347403050073,2.880982478759681,3.5493649242903915
3,中兴商业,000715,2019-09-11,0,0,3,2.79,16.26,6.295900169250666,4.1284082217004245,2.167491947550242
39,金溢科技,002869,2019-09-11,0,0,3,1.18,83.71,6.243370700739458,2.600405096819138,3.64296560392032
67,中国平安,601318,2019-09-12,0,0,3,182.8,8.17,6.211289104123681,5.481121580206307,0.7301675239173742
1,长春高新,000661,2019-09-11,0,0,3,1.7,41.16,5.92355604782232,3.0969812887935064,2.826574759028814
63,赛轮轮胎,601058,2019-09-16,0,0,3,27.0,10.65,5.9148440388754135,4.866892401730722,1.0479516371446924
30,姚记科技,002605,2019-09-16,0,0,3,3.98,17.39,5.888286865908718,4.031284112767737,1.8570027531409807
7,太阳纸业,002078,2019-09-11,0,0,3,25.92,11.19,5.824994216278356,4.767216410191003,1.0577778060873533
35,东音股份,002793,2019-09-16,0,0,3,2.07,36.29,5.727342756540854,3.2055659535149434,2.5217768030259107
38,科达利,002850,2019-09-16,0,0,3,2.1,35.97,5.715553101670173,3.213490618580615,2.5020624830895573
61,海通证券,600837,2019-09-16,0,0,3,115.02,10.42,5.700284446909068,4.91222966093423,0.7880547859748377
40,三利谱,002876,2019-09-16,0,0,3,1.04,1379.97,5.639739211372469,1.5924227962075497,4.04731641516492
65,博威合金,601137,2019-09-16,0,0,3,6.85,16.85,5.5997563903229555,4.076308810047354,1.5234475802756022
37,东方中科,002819,2019-09-16,0,0,3,1.57,81.08,5.590966581952929,2.6192906966791862,2.971675885273743
85,珀莱雅,603605,2019-09-16,0,0,3,2.01,46.55,5.560806145408273,2.997746260815089,2.5630598845931845
51,恒力石化,600346,2019-09-16,0,0,3,70.39,12.01,5.491940594771541,4.6315894463794205,0.8603511483921202
31,长鹰信质,002664,2019-09-16,0,0,3,4.0,23.92,5.4797006770501255,3.6264438609918717,1.8532568160582534
89,康德莱,603987,2019-09-16,0,0,3,4.42,22.86,5.460637622846999,3.678969511885181,1.7816681109618184
41,意华股份,002897,2019-09-11,0,0,3,1.71,78.33,5.45645154917181,2.640015705943167,2.8164358432286427
86,艾迪精密,603638,2019-09-16,0,0,3,3.86,25.86,5.41971521500971,3.5395009567505995,1.88021425825911
47,金发科技,600143,2019-09-16,0,0,3,27.17,14.58,5.3428846374127765,4.296427646621622,1.0464569907911552
73,国检集团,603060,2019-09-16,0,0,3,3.08,36.03,5.28309306213491,3.211996396180071,2.0710966659548387
79,应流股份,603308,2019-09-12,0,0,3,4.34,27.8,5.25684447286233,3.462496464191171,1.7943480086711585
52,健康元,600380,2019-09-11,0,0,3,19.38,16.8,5.214084016355928,4.080602403466201,1.1334816128897274
64,恒立液压,601100,2019-09-16,0,0,3,8.82,21.71,5.146554134631698,3.740667529811858,1.4058866048198397
27,富春环保,002479,2019-09-16,0,0,3,8.94,21.61,5.14639755851798,3.746287147856425,1.400110410661555
33,红旗连锁,002697,2019-09-11,0,0,3,13.6,19.59,5.1115927639274,3.8698658957572625,1.2417268681701377
83,普莱柯,603566,2019-09-11,0,0,3,3.21,43.52,5.0845123623481605,3.0512198139691793,2.033292548378981
29,中京电子,002579,2019-09-16,0,0,3,3.72,37.55,5.084398220467717,3.175389579811991,1.909008640655726
77,海量数据,603138,2019-09-16,0,0,3,2.11,88.43,5.064202700188699,2.5685816105924353,2.4956210895962636
74,共进股份,603118,2019-09-16,0,0,3,7.76,24.65,5.055502511626519,3.592426500332867,1.4630760112936518
42,大博医疗,002901,2019-09-11,0,0,3,4.02,36.93,5.0395828176257496,3.190038285942072,1.8495445316836778
18,漫步者,002351,2019-09-16,0,0,3,5.93,29.3,5.008398698463926,3.4086238803150986,1.5997748181488283
43,深南电路,002916,2019-09-11,0,0,3,3.39,47.51,4.967361357609254,2.9818968498007004,1.9854645078085535
19,杰瑞股份,002353,2019-09-16,0,0,3,9.58,24.83,4.955573506406137,3.5842892070604377,1.3712842993456988
62,北京城乡,600861,2019-09-16,0,0,3,3.17,57.47,4.886423755958235,2.8418113706473913,2.0446123853108435
71,创力集团,603012,2019-09-16,0,0,3,6.37,32.93,4.8556563460249125,3.294693756439014,1.560962589585898
68,三六零,601360,2019-09-16,0,0,3,67.64,18.5,4.812599790584863,3.945795102532299,0.8668046880525639
48,上海贝岭,600171,2019-09-16,0,0,3,7.04,37.31,4.69079792907808,3.1810151943106506,1.5097827347674297
16,普利特,002324,2019-09-16,0,0,3,5.28,46.51,4.66542419181477,2.9984174241686605,1.6670067676461096
58,太极实业,600667,2019-09-16,0,0,3,21.06,26.26,4.633629919807551,3.522876484612565,1.1107534351949864
23,星网锐捷,002396,2019-09-16,0,0,3,5.83,47.37,4.593460384541668,2.9841777972963186,1.6092825872453498
54,贵航股份,600523,2019-09-16,0,0,3,4.04,67.47,4.5794342199295155,2.733568816933717,1.8458654029957984
10,天津普林,002134,2019-09-11,0,0,3,2.46,161.71,4.567735135276111,2.2637372752757345,2.303997860000376
4,新乡化纤,000949,2019-09-16,0,0,3,12.58,33.04,4.559942630096676,3.291552475765579,1.2683901543310965
11,顺络电子,002138,2019-09-11,0,0,3,8.06,43.09,4.504925255541735,3.059270625884111,1.445654629657624
88,金域医学,603882,2019-09-16,0,0,3,4.58,66.3,4.502459739287325,2.744970005454118,1.7574897338332067
49,中牧股份,600195,2019-09-11,0,0,3,8.42,42.3,4.5004799253572125,3.074387194895824,1.4260927304613882
15,水晶光电,002273,2019-09-16,0,0,3,11.22,41.85,4.392852764690696,3.083192939825079,1.3096598248656175
12,智光电气,002169,2019-09-12,0,0,3,7.88,51.98,4.370008580131238,2.9140309436103995,1.4559776365208377
8,梦网集团,002123,2019-09-16,0,0,3,8.09,51.76,4.361133189061536,2.917162615032711,1.443970574028825
9,中环股份,002129,2019-09-16,0,0,3,27.85,33.48,4.319761581952971,3.2791498648061035,1.0406117171468676
66,环旭电子,601231,2019-09-16,0,0,3,21.76,36.03,4.314058265596257,3.211996396180071,1.102061869416186
13,武汉凡谷,002194,2019-09-16,0,0,3,5.65,75.27,4.291476560601925,2.664361935283231,1.627114625318694
20,中恒电气,002364,2019-09-16,0,0,3,5.64,76.37,4.283579792966279,2.6554461101401996,1.6281336828260793
32,珠江钢琴,002678,2019-09-16,0,0,3,13.58,44.81,4.269999786185316,3.027779983237584,1.2422198029477318
81,超讯通信,603322,2019-09-16,0,0,3,1.57,10000.0,4.2216758852737435,1.25,2.971675885273743
50,生物股份,600201,2019-09-11,0,0,3,11.26,54.0,4.194515580509322,2.88617987201186,1.3083357084974625
24,高德红外,002414,2019-09-12,0,0,3,9.36,63.47,4.15465647895224,2.7738196937740676,1.380836785178172
59,ST岩石,600696,2019-09-16,0,0,3,3.34,230.73,4.114127174775882,2.115861113262577,1.9982660615133048
14,证通电子,002197,2019-09-16,0,0,3,5.15,117.79,4.0963531918477205,2.414166224912972,1.6821869669347487
6,东信和平,002017,2019-09-11,0,0,3,4.46,146.86,4.0829197947543765,2.3074400613212642,1.7754797334331127
22,维信诺,002387,2019-09-16,0,0,3,13.68,59.3,4.059758203102434,2.819991971320866,1.2397662317815683
78,济民制药,603222,2019-09-11,0,0,3,3.2,306.73,4.0467489202472695,2.010651422195594,2.0360974980516757
70,合锻智能,603011,2019-09-11,0,0,3,4.53,260.7,3.8342988408073344,2.069415624129458,1.7648832166778763
60,闻泰科技,600745,2019-09-16,0,0,3,6.37,169.56,3.8037955416332228,2.242832952047325,1.560962589585898
76,碳元科技,603133,2019-09-12,0,0,3,2.11,10000.0,3.7456210895962636,1.25,2.4956210895962636
28,嘉麟杰,002486,2019-09-16,0,0,3,8.32,245.61,3.523223484809932,2.091834859524483,1.4313886252854489
