,name,code,start_date,end_date,days,p_change,totals,pe,rank
15,金溢科技,002869,2019-09-03,0,0,10,1.18,83.71,24.313307574047503
25,恒力石化,600346,2019-09-03,0,0,10,70.39,12.01,19.067626562176873
40,鸿远电子,603267,2019-09-03,0,0,10,1.65,27.32,18.520956539063725
37,菲林格尔,603226,2019-09-03,0,0,10,1.51,47.8,17.49612905308696
22,联美控股,600167,2019-09-03,0,0,10,22.88,16.34,17.220209129507225
17,科力尔,002892,2019-09-03,0,0,10,1.42,79.35,17.095317184200486
1,长春高新,000661,2019-08-30,0,0,10,1.7,41.16,16.727281547120572
33,博通集成,603068,2019-09-03,0,0,10,1.39,127.3,16.494245537439458
31,中国国旅,601888,2019-09-03,0,0,10,19.52,20.21,16.09392827891255
45,珀莱雅,603605,2019-09-03,0,0,10,2.01,46.55,15.289180964763204
30,隆基股份,601012,2019-09-03,0,0,10,36.24,24.93,14.960598311390587
44,绝味食品,603517,2019-09-03,0,0,10,5.74,29.77,14.88823323396181
38,景旺电子,603228,2019-09-03,0,0,10,6.02,32.42,14.520620446470966
35,昭衍新药,603127,2019-09-03,0,0,10,1.61,120.09,14.452649864661428
48,家家悦,603708,2019-09-03,0,0,10,6.08,33.57,14.3822449104324
21,上海机场,600009,2019-08-28,0,0,10,19.27,30.0,14.318131608807203
13,凯莱英,002821,2019-09-03,0,0,10,2.31,55.29,14.226980751377436
10,中顺洁柔,002511,2019-09-02,0,0,10,13.06,32.29,14.149315820488097
3,韵达股份,002120,2019-09-03,0,0,10,22.27,31.53,14.086679239163342
39,大参林,603233,2019-09-02,0,0,10,5.2,40.02,13.878877083401186
18,深南电路,002916,2019-09-03,0,0,10,3.39,47.51,13.813669197040737
52,益丰药房,603939,2019-09-03,0,0,10,3.79,47.12,13.681298543225756
0,汇顶科技,603160,2019-09-03,0,0,10,4.56,44.17,13.674644829551756
4,中航光电,002179,2019-09-03,0,0,10,10.28,38.89,13.568047543078423
42,集友股份,603429,2019-09-03,0,0,10,2.66,62.03,13.510564262325502
47,健友股份,603707,2019-09-03,0,0,10,7.18,42.74,13.431714462409907
6,海大集团,002311,2019-09-03,0,0,10,15.81,38.71,13.429936777285574
8,沪电股份,002463,2019-09-03,0,0,10,17.25,38.92,13.385794505465347
29,长江电力,600900,2019-08-29,0,0,10,220.0,35.12,13.367247909198552
14,视源股份,002841,2019-09-03,0,0,10,6.56,49.75,13.011075298250743
46,安图生物,603658,2019-09-03,0,0,10,4.2,56.8,13.004738925815435
20,白云机场,600004,2019-09-03,0,0,10,20.69,43.27,12.983559209542879
2,华兰生物,002007,2019-09-03,0,0,10,14.03,45.11,12.961699947560936
28,宝信软件,600845,2019-09-03,0,0,10,11.41,46.61,12.932782829533334
23,生益科技,600183,2019-09-03,0,0,10,22.76,44.09,12.89976008484162
50,桃李面包,603866,2019-09-03,0,0,10,6.59,52.44,12.851359899366138
9,立讯精密,002475,2019-09-03,0,0,10,53.49,43.6,12.777554064304617
27,通策医疗,600763,2019-09-03,0,0,10,3.21,76.29,12.598666806343049
51,金域医学,603882,2019-09-03,0,0,10,4.58,66.3,12.493047274886612
34,剑桥科技,603083,2019-08-21,0,0,10,1.67,343.37,12.377188117634242
16,美格智能,002881,2019-09-03,0,0,10,1.81,235.8,12.310574437900083
41,海天味业,603288,2019-09-03,0,0,10,27.0,56.3,12.123886687948307
19,鹏鼎控股,002938,2019-09-03,0,0,10,23.11,64.36,11.791424449494416
32,广州酒家,603043,2019-09-03,0,0,10,4.04,107.31,11.498237860391605
24,恒瑞医药,600276,2019-09-03,0,0,10,44.23,73.38,11.328177675652825
11,中公教育,002607,2019-09-03,0,0,10,61.67,96.07,10.646461805447814
36,济民制药,603222,2019-09-03,0,0,10,3.2,306.73,10.022215790570225
7,广联达,002410,2019-09-03,0,0,10,11.27,227.09,9.438890045681656
5,九鼎新材,002201,2019-09-03,0,0,10,3.32,808.56,8.797136922821782
49,三棵树,603737,2019-09-03,0,0,10,1.86,10000.0,8.710396926952214
43,韦尔股份,603501,2019-09-03,0,0,10,8.64,1503.97,7.362563190748236
26,中国软件,600536,2019-09-03,0,0,10,4.95,10000.0,6.439666736637309
12,牧原股份,002714,2019-09-03,0,0,10,20.85,10000.0,5.758089156624185
