,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
99,浙江广厦,600052,2019-09-03,0,0,10,8.72,1.58,26.579796540620336,25.168998884732144,1.4107976558881914
164,吉比特,603444,2019-09-03,0,0,10,0.72,20.69,9.779983745143177,3.800083704801132,5.979900040342045
73,好利来,002729,2019-09-03,0,0,10,0.67,126.42,8.97528728823176,2.3788954452260644,6.596391843005696
150,九华旅游,603199,2019-09-03,0,0,10,1.11,16.81,7.907901715492004,4.079741939323651,3.8281597761683526
148,春风动力,603129,2019-09-03,0,0,10,1.34,15.69,7.491939888002202,4.181920417987058,3.310019470015144
121,祁连山,600720,2019-09-03,0,0,10,7.76,6.79,7.473632175958469,6.010556164664818,1.4630760112936518
183,诚意药业,603811,2019-09-03,0,0,10,1.19,20.7,7.418285421330948,3.7994777141151697,3.6188077072157783
48,宏创控股,002379,2019-08-30,0,0,10,9.26,7.01,7.29743449600639,5.912136071100141,1.3852984249062488
79,微光股份,002801,2019-09-03,0,0,10,1.18,23.4,7.294690766859528,3.6517251629392073,3.64296560392032
162,柳药股份,603368,2019-09-03,0,0,10,2.59,13.62,6.654611030452351,4.408482561143192,2.2461284693091597
145,圣达生物,603079,2019-09-03,0,0,10,1.12,59.0,6.623330055007024,2.823499630194059,3.7998304248129644
16,韶能股份,000601,2019-09-03,0,0,10,10.81,8.89,6.592922575011861,5.269249363482793,1.3236732115290681
167,淳中科技,603516,2019-09-03,0,0,10,1.31,35.43,6.591895440140858,3.227115718832487,3.3647797213083708
169,司太立,603520,2019-09-03,0,0,10,1.68,22.99,6.519571636484724,3.672315009344762,2.847256627139961
39,云海金属,002182,2019-08-23,0,0,10,6.46,10.27,6.496384006291974,4.942809501451367,1.553574504840607
74,燕塘乳业,002732,2019-09-03,0,0,10,1.57,26.33,6.491685020363885,3.520009135090142,2.971675885273743
157,鸿远电子,603267,2019-09-03,0,0,10,1.65,27.32,6.3600624641831605,3.4807289909085415,2.879333473274619
149,华正新材,603186,2019-09-03,0,0,10,1.29,52.05,6.316072012471178,2.913038686496659,3.4030333259745187
20,中兴商业,000715,2019-09-03,0,0,10,2.79,16.26,6.295900169250666,4.1284082217004245,2.167491947550242
89,沃特股份,002886,2019-08-22,0,0,10,1.19,74.99,6.285469604326472,2.6666618971106946,3.6188077072157783
7,德赛电池,000049,2019-09-03,0,0,10,2.05,22.19,6.249531708673912,3.714276178355757,2.535255530318155
87,金溢科技,002869,2019-09-03,0,0,10,1.18,83.71,6.243370700739458,2.600405096819138,3.64296560392032
118,同达创业,600647,2019-09-03,0,0,10,1.39,55.1,6.0967613663649844,2.8716626417236073,3.225098724641377
153,菲林格尔,603226,2019-09-03,0,0,10,1.51,47.8,6.025528485791048,2.9772043265962265,3.048324159194822
3,国药一致,000028,2019-08-27,0,0,10,4.28,15.64,5.990908662869258,4.18677452803478,1.8041341348344782
132,广日股份,600894,2019-09-02,0,0,10,8.6,12.4,5.989613390476497,4.572801205472828,1.4168121850036686
22,新洋丰,000902,2019-08-22,0,0,10,13.05,11.43,5.981395646426273,4.725691426670478,1.2557042197557953
19,长春高新,000661,2019-08-30,0,0,10,1.7,41.16,5.92355604782232,3.0969812887935064,2.826574759028814
135,赛轮轮胎,601058,2019-09-03,0,0,10,27.0,10.65,5.9148440388754135,4.866892401730722,1.0479516371446924
63,姚记科技,002605,2019-09-03,0,0,10,3.98,17.39,5.888286865908718,4.031284112767737,1.8570027531409807
190,深圳新星,603978,2019-09-03,0,0,10,1.6,49.89,5.880434914395101,2.9446173357282595,2.935817578666842
29,京新药业,002020,2019-09-03,0,0,10,7.25,14.13,5.842661329614855,4.347288679482702,1.495372650132153
160,我乐家居,603326,2019-08-27,0,0,10,2.24,28.87,5.8409101633455105,3.423609853632549,2.417300309712962
90,科力尔,002892,2019-09-03,0,0,10,1.42,79.35,5.809787642796232,2.632206616305401,3.1775810264908313
106,瀚蓝环境,600323,2019-08-21,0,0,10,7.66,14.63,5.76007546942075,4.2909455878889196,1.4691298815318306
108,国药股份,600511,2019-09-03,0,0,10,7.64,14.86,5.736499344136451,4.266143136776895,1.4703562073595564
84,科达利,002850,2019-09-03,0,0,10,2.1,35.97,5.715553101670173,3.213490618580615,2.5020624830895573
31,黔源电力,002039,2019-08-30,0,0,10,3.05,23.83,5.711008918588831,3.6307549982793073,2.0802539203095236
46,众生药业,002317,2019-08-30,0,0,10,8.14,14.89,5.70414356470863,4.2629572881371,1.4411862765715298
138,中国太保,601601,2019-08-23,0,0,10,90.62,10.58,5.702073883391902,4.880497753794068,0.8215761295978344
77,坚朗五金,002791,2019-09-03,0,0,10,3.22,23.09,5.697741963244041,3.6672379582643972,2.0305040049796435
123,华域汽车,600741,2019-09-03,0,0,10,31.53,11.68,5.696316583773401,4.684091550040448,1.012225033732952
6,*ST康达,000048,2019-08-29,0,0,10,3.91,21.24,5.637844810498452,3.767458840133517,1.8703859703649346
127,上海机电,600835,2019-08-26,0,0,10,10.23,14.81,5.616470572994565,4.2714778460029255,1.3449927269916397
144,博通集成,603068,2019-09-03,0,0,10,1.39,127.3,5.600589283073967,2.3754905584325905,3.225098724641377
117,老凤祥,600612,2019-09-03,0,0,10,5.23,19.01,5.582126972190554,3.9093588049957315,1.6727681671948234
180,新日股份,603787,2019-08-30,0,0,10,2.04,44.79,5.570234500345111,3.028135504774476,2.5420989955706355
