,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
75,浙江广厦,600052,2019-09-12,0,0,5,8.72,1.58,26.579796540620336,25.168998884732144,1.4107976558881914
122,九华旅游,603199,2019-09-09,0,0,5,1.11,16.81,7.907901715492004,4.079741939323651,3.8281597761683526
119,春风动力,603129,2019-09-12,0,0,5,1.34,15.69,7.491939888002202,4.181920417987058,3.310019470015144
35,宏创控股,002379,2019-09-10,0,0,5,9.26,7.01,7.29743449600639,5.912136071100141,1.3852984249062488
60,微光股份,002801,2019-09-11,0,0,5,1.18,23.4,7.294690766859528,3.6517251629392073,3.64296560392032
109,郑煤机,601717,2019-09-12,0,0,5,17.32,6.7,7.21844655587545,6.052720629721003,1.1657259261544468
54,利民股份,002734,2019-09-11,0,0,5,2.84,10.99,6.952606207370774,4.803084614298971,2.149521593071803
12,华润三九,000999,2019-09-11,0,0,5,9.79,8.39,6.775136777851987,5.412649808089668,1.3624869697623194
116,圣达生物,603079,2019-09-09,0,0,5,1.12,59.0,6.623330055007024,2.823499630194059,3.7998304248129644
16,宁波华翔,002048,2019-09-09,0,0,5,6.26,9.78,6.619010874926561,5.048776967427329,1.5702339074992318
133,淳中科技,603516,2019-09-10,0,0,5,1.31,35.43,6.591895440140858,3.227115718832487,3.3647797213083708
5,大冶特钢,000708,2019-09-12,0,0,5,4.49,11.04,6.564908593869561,4.7940060041599075,1.7709025897096533
134,司太立,603520,2019-09-06,0,0,5,1.68,22.99,6.519571636484724,3.672315009344762,2.847256627139961
140,朗博科技,603655,2019-09-09,0,0,5,1.06,94.58,6.511298231700196,2.530621392317066,3.98067683938313
86,涪陵电力,600452,2019-09-11,0,0,5,3.14,13.52,6.474238382465524,4.420957599843755,2.053280782621769
72,恒铭达,002947,2019-09-06,0,0,5,1.22,54.39,6.430347403050073,2.880982478759681,3.5493649242903915
127,鸿远电子,603267,2019-09-09,0,0,5,1.65,27.32,6.3600624641831605,3.4807289909085415,2.879333473274619
32,焦点科技,002315,2019-09-09,0,0,5,2.35,18.15,6.329759781507067,3.9717950777224025,2.3579647037846647
121,华正新材,603186,2019-09-06,0,0,5,1.29,52.05,6.316072012471178,2.913038686496659,3.4030333259745187
6,中兴商业,000715,2019-09-11,0,0,5,2.79,16.26,6.295900169250666,4.1284082217004245,2.167491947550242
137,永艺股份,603600,2019-09-10,0,0,5,3.03,15.63,6.274203143062598,4.187748567622606,2.086454575439992
74,三一重工,600031,2019-09-09,0,0,5,83.7,8.35,6.258224760805391,5.424838199319934,0.833386561485457
66,金溢科技,002869,2019-09-11,0,0,5,1.18,83.71,6.243370700739458,2.600405096819138,3.64296560392032
107,中国平安,601318,2019-09-12,0,0,5,182.8,8.17,6.211289104123681,5.481121580206307,0.7301675239173742
135,海兴电力,603556,2019-09-09,0,0,5,4.94,13.86,6.087355004879239,4.379191646233232,1.7081633586460074
125,菲林格尔,603226,2019-09-06,0,0,5,1.51,47.8,6.025528485791048,2.9772043265962265,3.048324159194822
4,长春高新,000661,2019-09-11,0,0,5,1.7,41.16,5.92355604782232,3.0969812887935064,2.826574759028814
104,赛轮轮胎,601058,2019-09-10,0,0,5,27.0,10.65,5.9148440388754135,4.866892401730722,1.0479516371446924
48,姚记科技,002605,2019-09-12,0,0,5,3.98,17.39,5.888286865908718,4.031284112767737,1.8570027531409807
13,京新药业,002020,2019-09-10,0,0,5,7.25,14.13,5.842661329614855,4.347288679482702,1.495372650132153
17,太阳纸业,002078,2019-09-11,0,0,5,25.92,11.19,5.824994216278356,4.767216410191003,1.0577778060873533
68,科力尔,002892,2019-09-10,0,0,5,1.42,79.35,5.809787642796232,2.632206616305401,3.1775810264908313
83,瀚蓝环境,600323,2019-09-10,0,0,5,7.66,14.63,5.76007546942075,4.2909455878889196,1.4691298815318306
58,东音股份,002793,2019-09-12,0,0,5,2.07,36.29,5.727342756540854,3.2055659535149434,2.5217768030259107
59,世嘉科技,002796,2019-09-06,0,0,5,1.68,54.48,5.7270476436746,2.8797910165346385,2.847256627139961
64,科达利,002850,2019-09-11,0,0,5,2.1,35.97,5.715553101670173,3.213490618580615,2.5020624830895573
98,海通证券,600837,2019-09-12,0,0,5,115.02,10.42,5.700284446909068,4.91222966093423,0.7880547859748377
56,坚朗五金,002791,2019-09-10,0,0,5,3.22,23.09,5.697741963244041,3.6672379582643972,2.0305040049796435
95,华域汽车,600741,2019-09-06,0,0,5,31.53,11.68,5.696316583773401,4.684091550040448,1.012225033732952
67,三利谱,002876,2019-09-12,0,0,5,1.04,1379.97,5.639739211372469,1.5924227962075497,4.04731641516492
1,神州数码,000034,2019-09-10,0,0,5,6.54,16.8,5.627752973932011,4.080602403466201,1.5471505704658102
142,神力股份,603819,2019-09-09,0,0,5,1.68,63.35,5.622341617817543,2.775084990677582,2.847256627139961
115,博通集成,603068,2019-09-10,0,0,5,1.39,127.3,5.600589283073967,2.3754905584325905,3.225098724641377
106,博威合金,601137,2019-09-12,0,0,5,6.85,16.85,5.5997563903229555,4.076308810047354,1.5234475802756022
7,振华科技,000733,2019-09-10,0,0,5,5.15,19.63,5.549401366420055,3.867214399485306,1.6821869669347487
18,威海广泰,002111,2019-09-10,0,0,5,3.82,24.08,5.507089471794895,3.6188445268555025,1.8882449449393928
65,力盛赛车,002858,2019-09-09,0,0,5,1.26,280.96,5.505198708628636,2.041946069260025,3.4632526393686107
84,恒力石化,600346,2019-09-12,0,0,5,70.39,12.01,5.491940594771541,4.6315894463794205,0.8603511483921202
69,意华股份,002897,2019-09-11,0,0,5,1.71,78.33,5.45645154917181,2.640015705943167,2.8164358432286427
53,良信电器,002706,2019-09-06,0,0,5,7.85,17.84,5.453277059067953,3.9955414550729227,1.4577356039950304
139,艾迪精密,603638,2019-09-12,0,0,5,3.86,25.86,5.41971521500971,3.5395009567505995,1.88021425825911
138,东方电缆,603606,2019-09-10,0,0,5,6.54,19.61,5.415689587696302,3.868539017230492,1.5471505704658102
99,华东电脑,600850,2019-09-10,0,0,5,4.26,24.78,5.393990670320098,3.5865399398761757,1.8074507304439222
92,龙溪股份,600592,2019-09-09,0,0,5,4.0,26.88,5.3511563796036,3.497899563545346,1.8532568160582534
77,金发科技,600143,2019-09-12,0,0,5,27.17,14.58,5.3428846374127765,4.296427646621622,1.0464569907911552
62,中装建设,002822,2019-09-10,0,0,5,6.0,22.16,5.309177566114947,3.7158980257211223,1.5932795403938245
114,国检集团,603060,2019-09-11,0,0,5,3.08,36.03,5.28309306213491,3.211996396180071,2.0710966659548387
128,应流股份,603308,2019-09-12,0,0,5,4.34,27.8,5.25684447286233,3.462496464191171,1.7943480086711585
123,日月股份,603218,2019-09-09,0,0,5,5.31,24.97,5.241620960004897,3.578026087722306,1.6635948722825913
