,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
44,浙江广厦,600052,2019-09-12,0,0,5,8.72,1.58,26.579796540620336,25.168998884732144,1.4107976558881914
74,九华旅游,603199,2019-09-10,0,0,5,1.11,16.81,7.907901715492004,4.079741939323651,3.8281597761683526
72,春风动力,603129,2019-09-12,0,0,5,1.34,15.69,7.491939888002202,4.181920417987058,3.310019470015144
20,宏创控股,002379,2019-09-11,0,0,5,9.26,7.01,7.29743449600639,5.912136071100141,1.3852984249062488
36,微光股份,002801,2019-09-12,0,0,5,1.18,23.4,7.294690766859528,3.6517251629392073,3.64296560392032
70,圣达生物,603079,2019-09-09,0,0,5,1.12,59.0,6.623330055007024,2.823499630194059,3.7998304248129644
4,大冶特钢,000708,2019-09-12,0,0,5,4.49,11.04,6.564908593869561,4.7940060041599075,1.7709025897096533
82,司太立,603520,2019-09-11,0,0,5,1.68,22.99,6.519571636484724,3.672315009344762,2.847256627139961
49,涪陵电力,600452,2019-09-12,0,0,5,3.14,13.52,6.474238382465524,4.420957599843755,2.053280782621769
77,鸿远电子,603267,2019-09-09,0,0,5,1.65,27.32,6.3600624641831605,3.4807289909085415,2.879333473274619
19,焦点科技,002315,2019-09-10,0,0,5,2.35,18.15,6.329759781507067,3.9717950777224025,2.3579647037846647
5,中兴商业,000715,2019-09-11,0,0,5,2.79,16.26,6.295900169250666,4.1284082217004245,2.167491947550242
43,三一重工,600031,2019-09-09,0,0,5,83.7,8.35,6.258224760805391,5.424838199319934,0.833386561485457
76,菲林格尔,603226,2019-09-06,0,0,5,1.51,47.8,6.025528485791048,2.9772043265962265,3.048324159194822
3,长春高新,000661,2019-09-10,0,0,5,1.7,41.16,5.92355604782232,3.0969812887935064,2.826574759028814
63,赛轮轮胎,601058,2019-09-12,0,0,5,27.0,10.65,5.9148440388754135,4.866892401730722,1.0479516371446924
39,科达利,002850,2019-09-12,0,0,5,2.1,35.97,5.715553101670173,3.213490618580615,2.5020624830895573
35,坚朗五金,002791,2019-09-11,0,0,5,3.22,23.09,5.697741963244041,3.6672379582643972,2.0305040049796435
0,神州数码,000034,2019-09-11,0,0,5,6.54,16.8,5.627752973932011,4.080602403466201,1.5471505704658102
86,神力股份,603819,2019-09-10,0,0,5,1.68,63.35,5.622341617817543,2.775084990677582,2.847256627139961
