,name,code,start_date,end_date,days,p_change,totals,pe,rank
25,恒力石化,600346,2019-09-03,0,0,10,70.39,12.01,5.024288238148098
22,联美控股,600167,2019-09-03,0,0,10,22.88,16.34,4.606963279395498
40,鸿远电子,603267,2019-09-03,0,0,10,1.65,27.32,4.571891292715705
31,中国国旅,601888,2019-09-03,0,0,10,19.52,20.21,4.332407208981822
1,长春高新,000661,2019-08-30,0,0,10,1.7,41.16,4.172922365882574
37,菲林格尔,603226,2019-09-03,0,0,10,1.51,47.8,4.11622530974825
44,绝味食品,603517,2019-09-03,0,0,10,5.74,29.77,4.078565922893182
30,隆基股份,601012,2019-09-03,0,0,10,36.24,24.93,4.022648499485178
45,珀莱雅,603605,2019-09-03,0,0,10,2.01,46.55,3.9955848807413004
38,景旺电子,603228,2019-09-03,0,0,10,6.02,32.42,3.9858071568122324
48,家家悦,603708,2019-09-03,0,0,10,6.08,33.57,3.951010773328819
15,金溢科技,002869,2019-09-03,0,0,10,1.18,83.71,3.8976709596527868
21,上海机场,600009,2019-08-28,0,0,10,19.27,30.0,3.889032394094734
10,中顺洁柔,002511,2019-09-02,0,0,10,13.06,32.29,3.8642937549621257
39,大参林,603233,2019-09-02,0,0,10,5.2,40.02,3.8272859825898697
3,韵达股份,002120,2019-09-03,0,0,10,22.27,31.53,3.82476509357104
13,凯莱英,002821,2019-09-03,0,0,10,2.31,55.29,3.8103029377206425
17,科力尔,002892,2019-09-03,0,0,10,1.42,79.35,3.806938119972581
18,深南电路,002916,2019-09-03,0,0,10,3.39,47.51,3.7954541624600475
0,汇顶科技,603160,2019-09-03,0,0,10,4.56,44.17,3.775690652796545
52,益丰药房,603939,2019-09-03,0,0,10,3.79,47.12,3.770988436542744
4,中航光电,002179,2019-09-03,0,0,10,10.28,38.89,3.729440766128564
47,健友股份,603707,2019-09-03,0,0,10,7.18,42.74,3.7089627522992896
42,集友股份,603429,2019-09-03,0,0,10,2.66,62.03,3.6790390625225533
6,海大集团,002311,2019-09-03,0,0,10,15.81,38.71,3.6758628867826433
8,沪电股份,002463,2019-09-03,0,0,10,17.25,38.92,3.6609055093309695
14,视源股份,002841,2019-09-03,0,0,10,6.56,49.75,3.606420756106137
46,安图生物,603658,2019-09-03,0,0,10,4.2,56.8,3.6063653254650054
50,桃李面包,603866,2019-09-03,0,0,10,6.59,52.44,3.566371234055036
28,宝信软件,600845,2019-09-03,0,0,10,11.41,46.61,3.5661343449997616
2,华兰生物,002007,2019-09-03,0,0,10,14.03,45.11,3.5641797380154245
29,长江电力,600900,2019-08-29,0,0,10,220.0,35.12,3.5638816086524754
33,博通集成,603068,2019-09-03,0,0,10,1.39,127.3,3.563160448136609
20,白云机场,600004,2019-09-03,0,0,10,20.69,43.27,3.5522299185203883
23,生益科技,600183,2019-09-03,0,0,10,22.76,44.09,3.527081156275508
35,昭衍新药,603127,2019-09-03,0,0,10,1.61,120.09,3.5084177143838877
27,通策医疗,600763,2019-09-03,0,0,10,3.21,76.29,3.485636682945748
51,金域医学,603882,2019-09-03,0,0,10,4.58,66.3,3.4803530815592407
9,立讯精密,002475,2019-09-03,0,0,10,53.49,43.6,3.4617255416344985
41,海天味业,603288,2019-09-03,0,0,10,27.0,56.3,3.3257230778745708
19,鹏鼎控股,002938,2019-09-03,0,0,10,23.11,64.36,3.249329802948547
32,广州酒家,603043,2019-09-03,0,0,10,4.04,107.31,3.228354925903511
16,美格智能,002881,2019-09-03,0,0,10,1.81,235.8,3.1527585830071994
24,恒瑞医药,600276,2019-09-03,0,0,10,44.23,73.38,3.106631111068301
34,剑桥科技,603083,2019-08-21,0,0,10,1.67,343.37,3.0567612517577407
11,中公教育,002607,2019-09-03,0,0,10,61.67,96.07,2.9237171000936932
36,济民制药,603222,2019-09-03,0,0,10,3.2,306.73,2.841133445917434
7,广联达,002410,2019-09-03,0,0,10,11.27,227.09,2.6931995656503847
5,九鼎新材,002201,2019-09-03,0,0,10,3.32,808.56,2.539164441697998
49,三棵树,603737,2019-09-03,0,0,10,1.86,10000.0,2.2825427014415935
43,韦尔股份,603501,2019-09-03,0,0,10,8.64,1503.97,2.1851331887360423
26,中国软件,600536,2019-09-03,0,0,10,4.95,10000.0,1.9675787841616392
12,牧原股份,002714,2019-09-03,0,0,10,20.85,10000.0,1.7455214612641659
