,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
573,海越能源,600387,2019-09-09,2019-09-10,2,0,4.74,3.95,10.115621913371818,8.380865472953268,1.7347564404185496
457,明德生物,002932,2019-09-04,2019-09-10,5,0,0.67,31.27,9.940587388234501,3.3441955452288057,6.596391843005696
38,广宇发展,000537,2019-09-04,2019-09-05,2,0,18.63,3.78,9.80273238712795,8.658131598421527,1.144600788706423
930,嘉澳环保,603822,2019-09-06,2019-09-09,2,0,0.73,27.01,9.367459011486522,3.492779694620512,5.87467931686601
805,乐惠国际,603076,2019-09-05,2019-09-10,4,0,0.75,24.22,9.29113584518644,3.6122622579188683,5.678873587267573
831,江山欧派,603208,2019-09-04,2019-09-05,2,0,0.81,16.7,9.275893061997575,4.089255455360996,5.186637606636579
471,民生银行,600016,2019-09-04,2019-09-09,4,0,437.82,4.03,8.901648972551047,8.260297897523877,0.6413510750271713
441,弘宇股份,002890,2019-09-05,2019-09-09,3,0,0.67,188.66,8.793537475646975,2.197145632641278,6.596391843005696
21,渤海租赁,000415,2019-09-04,2019-09-05,2,0,61.85,4.29,8.787327172165455,7.905672148594076,0.8816550235713781
911,中源家居,603709,2019-09-05,2019-09-09,3,0,0.8,28.52,8.696306748066672,3.4360730132708457,5.2602337347958255
450,联诚精密,002921,2019-09-04,2019-09-06,3,0,0.8,29.62,8.65793065063497,3.3976969158391452,5.2602337347958255
900,恒林股份,603661,2019-09-09,2019-09-10,2,0,1.0,13.35,8.634350509439443,4.442543960860673,4.19180654857877
735,北京银行,601169,2019-09-04,2019-09-06,3,0,211.43,4.31,8.594205503123973,7.880502951245763,0.7137025518782102
638,大商股份,600694,2019-09-05,2019-09-06,2,0,2.94,6.12,8.470600692038202,6.355247488926588,2.1153532031116136
616,绿地控股,600606,2019-09-06,2019-09-09,2,0,121.68,4.49,8.446351732290905,7.665815330307119,0.7805364019837865
876,三星新材,603578,2019-09-04,2019-09-05,2,0,0.9,22.56,8.331023608122631,3.6945655507349873,4.636458057387643
444,中大力德,002896,2019-09-06,2019-09-09,2,0,0.8,43.63,8.309413566642611,3.0491798318467866,5.2602337347958255
848,湘油泵,603319,2019-09-09,2019-09-10,2,0,1.05,14.76,8.290405414835487,4.2768440226670785,4.013561392168409
