,name,code,start_date,end_date,days,p_change,totals,pe,rank
15,金溢科技,002869,2019-09-03,0,0,10,1.18,83.71,16.51209228359009
33,博通集成,603068,2019-09-03,0,0,10,1.39,127.3,9.367773862141686
17,科力尔,002892,2019-09-03,0,0,10,1.42,79.35,9.198697335284283
37,菲林格尔,603226,2019-09-03,0,0,10,1.51,47.8,8.56451607329828
40,鸿远电子,603267,2019-09-03,0,0,10,1.65,27.32,8.078769566338101
1,长春高新,000661,2019-08-30,0,0,10,1.7,41.16,7.436337680740053
35,昭衍新药,603127,2019-09-03,0,0,10,1.61,120.09,7.239401186336449
34,剑桥科技,603083,2019-08-21,0,0,10,1.67,343.37,6.46180728195298
45,珀莱雅,603605,2019-09-03,0,0,10,2.01,46.55,6.295942182317939
16,美格智能,002881,2019-09-03,0,0,10,1.81,235.8,5.988246481214559
13,凯莱英,002821,2019-09-03,0,0,10,2.31,55.29,5.619383498668077
25,恒力石化,600346,2019-09-03,0,0,10,70.39,12.01,5.1728582230386095
42,集友股份,603429,2019-09-03,0,0,10,2.66,62.03,5.142838559045278
49,三棵树,603737,2019-09-03,0,0,10,1.86,10000.0,4.960396926952213
18,深南电路,002916,2019-09-03,0,0,10,3.39,47.51,4.867978647638635
22,联美控股,600167,2019-09-03,0,0,10,22.88,16.34,4.856743538952545
52,益丰药房,603939,2019-09-03,0,0,10,3.79,47.12,4.71646908485161
44,绝味食品,603517,2019-09-03,0,0,10,5.74,29.77,4.7103153216072
27,通策医疗,600763,2019-09-03,0,0,10,3.21,76.29,4.630402236312872
31,中国国旅,601888,2019-09-03,0,0,10,19.52,20.21,4.604661249946604
38,景旺电子,603228,2019-09-03,0,0,10,6.02,32.42,4.592191252634651
0,汇顶科技,603160,2019-09-03,0,0,10,4.56,44.17,4.556809939219331
48,家家悦,603708,2019-09-03,0,0,10,6.08,33.57,4.552311547202011
39,大参林,603233,2019-09-02,0,0,10,5.2,40.02,4.517200412757562
46,安图生物,603658,2019-09-03,0,0,10,4.2,56.8,4.454555535969622
51,金域医学,603882,2019-09-03,0,0,10,4.58,66.3,4.2581372585242585
47,健友股份,603707,2019-09-03,0,0,10,7.18,42.74,4.233969482142359
30,隆基股份,601012,2019-09-03,0,0,10,36.24,24.93,4.2211691271803815
10,中顺洁柔,002511,2019-09-02,0,0,10,13.06,32.29,4.209406185843745
14,视源股份,002841,2019-09-03,0,0,10,6.56,49.75,4.170869540765962
21,上海机场,600009,2019-08-28,0,0,10,19.27,30.0,4.163244220874521
4,中航光电,002179,2019-09-03,0,0,10,10.28,38.89,4.1331236474366095
50,桃李面包,603866,2019-09-03,0,0,10,6.59,52.44,4.128719030242513
32,广州酒家,603043,2019-09-03,0,0,10,4.04,107.31,4.111404861663145
3,韵达股份,002120,2019-09-03,0,0,10,22.27,31.53,4.0781651346517656
36,济民制药,603222,2019-09-03,0,0,10,3.2,306.73,3.990261523983445
6,海大集团,002311,2019-09-03,0,0,10,15.81,38.71,3.983041007689285
8,沪电股份,002463,2019-09-03,0,0,10,17.25,38.92,3.952857593229167
28,宝信软件,600845,2019-09-03,0,0,10,11.41,46.61,3.942559353773045
2,华兰生物,002007,2019-09-03,0,0,10,14.03,45.11,3.894271797685379
20,白云机场,600004,2019-09-03,0,0,10,20.69,43.27,3.8159023581058893
23,生益科技,600183,2019-09-03,0,0,10,22.76,44.09,3.7775596284357227
29,长江电力,600900,2019-08-29,0,0,10,220.0,35.12,3.6619933033004366
5,九鼎新材,002201,2019-09-03,0,0,10,3.32,808.56,3.638442149599622
9,立讯精密,002475,2019-09-03,0,0,10,53.49,43.6,3.628347835290888
41,海天味业,603288,2019-09-03,0,0,10,27.0,56.3,3.5549474905594227
19,鹏鼎控股,002938,2019-09-03,0,0,10,23.11,64.36,3.4977901422774704
24,恒瑞医药,600276,2019-09-03,0,0,10,44.23,73.38,3.2877728507341057
11,中公教育,002607,2019-09-03,0,0,10,61.67,96.07,3.0805925560001963
7,广联达,002410,2019-09-03,0,0,10,11.27,227.09,3.0727018329848903
26,中国软件,600536,2019-09-03,0,0,10,4.95,10000.0,2.6896667366373093
43,韦尔股份,603501,2019-09-03,0,0,10,8.64,1503.97,2.641483290414178
12,牧原股份,002714,2019-09-03,0,0,10,20.85,10000.0,2.0080891566241847
