,name,code,start_date,end_date,days,p_change
7,大康农业,002505,2019-08-28,2019-08-30,40,2019-08-22
5,赛象科技,002337,2019-08-27,2019-08-30,40,2019-08-15
1,深科技,000021,2019-08-26,2019-08-30,40,2019-08-09
3,科陆电子,002121,2019-08-23,2019-08-30,40,2019-08-15
0,深中华A,000017,2019-08-22,2019-08-26,40,2019-08-15
4,拓日新能,002218,2019-08-22,2019-08-26,40,2019-08-15
9,易尚展示,002751,2019-08-20,2019-08-22,40,2019-08-09
2,*ST斯太,000760,2019-08-14,2019-08-19,40,2019-08-06
14,永冠新材,603681,2019-08-07,2019-08-09,40,2019-08-02
8,奥马电器,002668,2019-08-06,2019-08-15,40,2019-08-02
12,环旭电子,601231,2019-07-31,2019-08-08,40,2019-07-22
13,东尼电子,603595,2019-07-30,2019-08-06,40,2019-07-22
6,双塔食品,002481,2019-07-29,2019-08-02,40,2019-07-22
11,三安光电,600703,2019-07-29,2019-08-06,40,2019-07-22
10,英维克,002837,2019-07-25,2019-08-06,40,2019-07-22
