,name,code,start_date,end_date,days,p_change,totals,pe,rank
1,长春高新,000661,2019-08-30,0,0,10,1.7,41.16,5.578148907463948
0,汇顶科技,603160,2019-09-03,0,0,10,4.56,44.17,2.733242961152847
5,九鼎新材,002201,2019-09-03,0,0,10,3.32,808.56,2.60670319495519
4,中航光电,002179,2019-09-03,0,0,10,10.28,38.89,2.246138868308247
10,中顺洁柔,002511,2019-09-02,0,0,10,13.06,32.29,2.221424258914875
6,海大集团,002311,2019-09-03,0,0,10,15.81,38.71,2.093661853770027
2,华兰生物,002007,2019-09-03,0,0,10,14.03,45.11,2.0807861677102677
3,韵达股份,002120,2019-09-03,0,0,10,22.27,31.53,2.0764623137494502
8,沪电股份,002463,2019-09-03,0,0,10,17.25,38.92,2.0662702107819313
7,广联达,002410,2019-09-03,0,0,10,11.27,227.09,1.799464190445537
9,立讯精密,002475,2019-09-03,0,0,10,53.49,43.6,1.7985065894881418
