,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
14,渤海租赁,000415,2019-09-03,2019-09-04,2,0,61.85,4.29,8.787327172165455,7.905672148594076,0.8816550235713781
2,富奥股份,000030,2019-08-27,2019-08-28,2,0,18.11,9.68,6.224346405353908,5.071635032699108,1.1527113726548002
11,潍柴动力,000338,2019-08-30,2019-09-02,2,0,79.34,8.69,6.166235056261019,5.324701487022767,0.8415335692382526
1,飞亚达Ａ,000026,2019-09-03,2019-09-04,2,0,4.43,14.1,6.130892140342691,4.350780408139076,1.780111732203615
5,华侨城Ａ,000069,2019-09-03,2019-09-04,2,0,82.03,9.94,5.849539546669236,5.013102322447814,0.8364372242214224
7,中联重科,000157,2019-09-03,2019-09-04,2,0,78.04,10.32,5.77660638794166,4.932524557176452,0.8440818307652078
6,TCL 集团,000100,2019-09-03,2019-09-04,2,0,135.5,10.43,5.676779464932317,4.910220022663493,0.7665594422688244
3,*ST康达,000048,2019-08-27,2019-08-28,2,0,3.91,21.24,5.637844810498452,3.767458840133517,1.8703859703649346
15,山东路桥,000498,2019-09-03,2019-09-04,2,0,11.2,15.06,5.5554375787568375,4.2451129152782485,1.310324663478589
0,深康佳Ａ,000016,2019-08-23,2019-08-27,2,0,24.08,15.02,5.325255863984455,4.249279990236757,1.075975873747698
10,美的集团,000333,2019-08-30,2019-09-03,3,0,69.39,14.94,5.120329447593986,4.257672292015667,0.8626571555783186
9,东方盛虹,000301,2019-09-03,2019-09-04,2,0,40.29,16.14,5.099871269008761,4.139403416100603,0.9604678529081588
12,振兴生化,000403,2019-08-23,2019-08-28,3,0,2.73,55.93,5.0508927759698565,2.8609932319782674,2.1898995439915896
4,农 产 品,000061,2019-08-27,2019-08-28,2,0,16.97,49.96,4.115343071261826,2.943561743074883,1.171781328186943
8,常山北明,000158,2019-08-28,2019-08-29,2,0,16.53,143.7,3.497210257906475,2.3175435419380443,1.1796667159684309
13,*ST地矿,000409,2019-08-23,2019-08-27,2,0,5.11,10000.0,2.936991889584616,1.25,1.686991889584616
