,name,code,start_date,end_date,days,p_change,totals,pe,rank
15,金溢科技,002869,2019-09-03,0,0,10,1.18,83.71,14.951849225498606
33,博通集成,603068,2019-09-03,0,0,10,1.39,127.3,7.942479527082131
17,科力尔,002892,2019-09-03,0,0,10,1.42,79.35,7.619373365501042
37,菲林格尔,603226,2019-09-03,0,0,10,1.51,47.8,6.778193477340545
40,鸿远电子,603267,2019-09-03,0,0,10,1.65,27.32,5.990332171792977
35,昭衍新药,603127,2019-09-03,0,0,10,1.61,120.09,5.796751450671454
1,长春高新,000661,2019-08-30,0,0,10,1.7,41.16,5.578148907463948
34,剑桥科技,603083,2019-08-21,0,0,10,1.67,343.37,5.278731114816727
16,美格智能,002881,2019-09-03,0,0,10,1.81,235.8,4.723780889877454
45,珀莱雅,603605,2019-09-03,0,0,10,2.01,46.55,4.497294425828885
49,三棵树,603737,2019-09-03,0,0,10,1.86,10000.0,4.210396926952213
13,凯莱英,002821,2019-09-03,0,0,10,2.31,55.29,3.897864048126204
42,集友股份,603429,2019-09-03,0,0,10,2.66,62.03,3.469293418389233
18,深南电路,002916,2019-09-03,0,0,10,3.39,47.51,3.0788405377582153
27,通策医疗,600763,2019-09-03,0,0,10,3.21,76.29,3.036749322306836
52,益丰药房,603939,2019-09-03,0,0,10,3.79,47.12,2.9235031931767805
36,济民制药,603222,2019-09-03,0,0,10,3.2,306.73,2.7838706706660887
46,安图生物,603658,2019-09-03,0,0,10,4.2,56.8,2.7445188580004594
0,汇顶科技,603160,2019-09-03,0,0,10,4.56,44.17,2.733242961152847
44,绝味食品,603517,2019-09-03,0,0,10,5.74,29.77,2.674731739136278
39,大参林,603233,2019-09-02,0,0,10,5.2,40.02,2.644865078628838
32,广州酒家,603043,2019-09-03,0,0,10,4.04,107.31,2.634038261917453
51,金域医学,603882,2019-09-03,0,0,10,4.58,66.3,2.611155255251788
5,九鼎新材,002201,2019-09-03,0,0,10,3.32,808.56,2.60670319495519
38,景旺电子,603228,2019-09-03,0,0,10,6.02,32.42,2.6065054138673878
48,家家悦,603708,2019-09-03,0,0,10,6.08,33.57,2.5863248745559337
14,视源股份,002841,2019-09-03,0,0,10,6.56,49.75,2.402828389269006
47,健友股份,603707,2019-09-03,0,0,10,7.18,42.74,2.3944204860888494
25,恒力石化,600346,2019-09-03,0,0,10,70.39,12.01,2.3939045552109572
50,桃李面包,603866,2019-09-03,0,0,10,6.59,52.44,2.3841908564177876
22,联美控股,600167,2019-09-03,0,0,10,22.88,16.34,2.384050420841609
31,中国国旅,601888,2019-09-03,0,0,10,19.52,20.21,2.3068078441534148
4,中航光电,002179,2019-09-03,0,0,10,10.28,38.89,2.246138868308247
10,中顺洁柔,002511,2019-09-02,0,0,10,13.06,32.29,2.221424258914875
28,宝信软件,600845,2019-09-03,0,0,10,11.41,46.61,2.1445146586209862
21,上海机场,600009,2019-08-28,0,0,10,19.27,30.0,2.1322667432879845
6,海大集团,002311,2019-09-03,0,0,10,15.81,38.71,2.093661853770027
2,华兰生物,002007,2019-09-03,0,0,10,14.03,45.11,2.0807861677102677
3,韵达股份,002120,2019-09-03,0,0,10,22.27,31.53,2.0764623137494502
30,隆基股份,601012,2019-09-03,0,0,10,36.24,24.93,2.0732832903383405
8,沪电股份,002463,2019-09-03,0,0,10,17.25,38.92,2.0662702107819313
20,白云机场,600004,2019-09-03,0,0,10,20.69,43.27,1.9823709878184914
23,生益科技,600183,2019-09-03,0,0,10,22.76,44.09,1.9531195371545431
26,中国软件,600536,2019-09-03,0,0,10,4.95,10000.0,1.9396667366373093
41,海天味业,603288,2019-09-03,0,0,10,27.0,56.3,1.8411596510816461
19,鹏鼎控股,002938,2019-09-03,0,0,10,23.11,64.36,1.8390632808340814
7,广联达,002410,2019-09-03,0,0,10,11.27,227.09,1.799464190445537
9,立讯精密,002475,2019-09-03,0,0,10,53.49,43.6,1.7985065894881418
29,长江电力,600900,2019-08-29,0,0,10,220.0,35.12,1.7209423821208139
43,韦尔股份,603501,2019-09-03,0,0,10,8.64,1503.97,1.697267310347366
24,恒瑞医药,600276,2019-09-03,0,0,10,44.23,73.38,1.679691885750362
11,中公教育,002607,2019-09-03,0,0,10,61.67,96.07,1.5674187061106726
12,牧原股份,002714,2019-09-03,0,0,10,20.85,10000.0,1.2580891566241847
