,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
54,浙江广厦,600052,2019-09-12,0,0,3,8.72,1.58,26.579796540620336,25.168998884732144,1.4107976558881914
91,春风动力,603129,2019-09-12,0,0,3,1.34,15.69,7.491939888002202,4.181920417987058,3.310019470015144
103,亿嘉和,603666,2019-09-12,0,0,3,0.98,39.67,7.398341410173459,3.128006404228298,4.270335005945161
26,宏创控股,002379,2019-09-10,0,0,3,9.26,7.01,7.29743449600639,5.912136071100141,1.3852984249062488
42,微光股份,002801,2019-09-11,0,0,3,1.18,23.4,7.294690766859528,3.6517251629392073,3.64296560392032
82,郑煤机,601717,2019-09-12,0,0,3,17.32,6.7,7.21844655587545,6.052720629721003,1.1657259261544468
38,利民股份,002734,2019-09-11,0,0,3,2.84,10.99,6.952606207370774,4.803084614298971,2.149521593071803
8,华润三九,000999,2019-09-11,0,0,3,9.79,8.39,6.775136777851987,5.412649808089668,1.3624869697623194
99,康辰药业,603590,2019-09-11,0,0,3,1.6,20.7,6.735295292782012,3.7994777141151697,2.935817578666842
97,淳中科技,603516,2019-09-10,0,0,3,1.31,35.43,6.591895440140858,3.227115718832487,3.3647797213083708
4,大冶特钢,000708,2019-09-12,0,0,3,4.49,11.04,6.564908593869561,4.7940060041599075,1.7709025897096533
63,涪陵电力,600452,2019-09-11,0,0,3,3.14,13.52,6.474238382465524,4.420957599843755,2.053280782621769
5,中兴商业,000715,2019-09-11,0,0,3,2.79,16.26,6.295900169250666,4.1284082217004245,2.167491947550242
52,奥士康,002913,2019-09-10,0,0,3,1.48,36.87,6.280837643173437,3.191476179670778,3.089361463502659
100,永艺股份,603600,2019-09-10,0,0,3,3.03,15.63,6.274203143062598,4.187748567622606,2.086454575439992
47,金溢科技,002869,2019-09-11,0,0,3,1.18,83.71,6.243370700739458,2.600405096819138,3.64296560392032
80,中国平安,601318,2019-09-12,0,0,3,182.8,8.17,6.211289104123681,5.481121580206307,0.7301675239173742
105,能科股份,603859,2019-09-10,0,0,3,1.26,79.12,6.097207304897872,2.6339546655292616,3.4632526393686107
3,长春高新,000661,2019-09-11,0,0,3,1.7,41.16,5.92355604782232,3.0969812887935064,2.826574759028814
77,赛轮轮胎,601058,2019-09-10,0,0,3,27.0,10.65,5.9148440388754135,4.866892401730722,1.0479516371446924
32,姚记科技,002605,2019-09-12,0,0,3,3.98,17.39,5.888286865908718,4.031284112767737,1.8570027531409807
10,京新药业,002020,2019-09-10,0,0,3,7.25,14.13,5.842661329614855,4.347288679482702,1.495372650132153
13,太阳纸业,002078,2019-09-11,0,0,3,25.92,11.19,5.824994216278356,4.767216410191003,1.0577778060873533
49,科力尔,002892,2019-09-10,0,0,3,1.42,79.35,5.809787642796232,2.632206616305401,3.1775810264908313
60,瀚蓝环境,600323,2019-09-10,0,0,3,7.66,14.63,5.76007546942075,4.2909455878889196,1.4691298815318306
41,东音股份,002793,2019-09-12,0,0,3,2.07,36.29,5.727342756540854,3.2055659535149434,2.5217768030259107
46,科达利,002850,2019-09-11,0,0,3,2.1,35.97,5.715553101670173,3.213490618580615,2.5020624830895573
72,海通证券,600837,2019-09-12,0,0,3,115.02,10.42,5.700284446909068,4.91222966093423,0.7880547859748377
39,坚朗五金,002791,2019-09-10,0,0,3,3.22,23.09,5.697741963244041,3.6672379582643972,2.0305040049796435
48,三利谱,002876,2019-09-12,0,0,3,1.04,1379.97,5.639739211372469,1.5924227962075497,4.04731641516492
0,神州数码,000034,2019-09-10,0,0,3,6.54,16.8,5.627752973932011,4.080602403466201,1.5471505704658102
88,博通集成,603068,2019-09-10,0,0,3,1.39,127.3,5.600589283073967,2.3754905584325905,3.225098724641377
79,博威合金,601137,2019-09-12,0,0,3,6.85,16.85,5.5997563903229555,4.076308810047354,1.5234475802756022
43,东方中科,002819,2019-09-12,0,0,3,1.57,81.08,5.590966581952929,2.6192906966791862,2.971675885273743
6,振华科技,000733,2019-09-10,0,0,3,5.15,19.63,5.549401366420055,3.867214399485306,1.6821869669347487
14,威海广泰,002111,2019-09-10,0,0,3,3.82,24.08,5.507089471794895,3.6188445268555025,1.8882449449393928
61,恒力石化,600346,2019-09-12,0,0,3,70.39,12.01,5.491940594771541,4.6315894463794205,0.8603511483921202
35,长鹰信质,002664,2019-09-11,0,0,3,4.0,23.92,5.4797006770501255,3.6264438609918717,1.8532568160582534
50,意华股份,002897,2019-09-11,0,0,3,1.71,78.33,5.45645154917181,2.640015705943167,2.8164358432286427
102,艾迪精密,603638,2019-09-12,0,0,3,3.86,25.86,5.41971521500971,3.5395009567505995,1.88021425825911
101,东方电缆,603606,2019-09-10,0,0,3,6.54,19.61,5.415689587696302,3.868539017230492,1.5471505704658102
73,华东电脑,600850,2019-09-10,0,0,3,4.26,24.78,5.393990670320098,3.5865399398761757,1.8074507304439222
56,金发科技,600143,2019-09-12,0,0,3,27.17,14.58,5.3428846374127765,4.296427646621622,1.0464569907911552
44,中装建设,002822,2019-09-10,0,0,3,6.0,22.16,5.309177566114947,3.7158980257211223,1.5932795403938245
87,国检集团,603060,2019-09-11,0,0,3,3.08,36.03,5.28309306213491,3.211996396180071,2.0710966659548387
94,应流股份,603308,2019-09-12,0,0,3,4.34,27.8,5.25684447286233,3.462496464191171,1.7943480086711585
62,健康元,600380,2019-09-11,0,0,3,19.38,16.8,5.214084016355928,4.080602403466201,1.1334816128897274
31,天顺风能,002531,2019-09-10,0,0,3,17.79,17.26,5.199782230354558,4.041903900699542,1.1578783296550164
21,楚江新材,002171,2019-09-10,0,0,3,13.34,19.0,5.158280971583521,3.910057415497704,1.2482235560858166
78,恒立液压,601100,2019-09-11,0,0,3,8.82,21.71,5.146554134631698,3.740667529811858,1.4058866048198397
29,富春环保,002479,2019-09-12,0,0,3,8.94,21.61,5.14639755851798,3.746287147856425,1.400110410661555
36,红旗连锁,002697,2019-09-11,0,0,3,13.6,19.59,5.1115927639274,3.8698658957572625,1.2417268681701377
11,航天电器,002025,2019-09-10,0,0,3,4.29,33.02,5.094608577155984,3.2921223939292084,1.802486183226776
98,普莱柯,603566,2019-09-11,0,0,3,3.21,43.52,5.0845123623481605,3.0512198139691793,2.033292548378981
33,万润股份,002643,2019-09-10,0,0,3,9.09,22.76,5.07719382257747,3.6841307148354487,1.3930631077420217
90,共进股份,603118,2019-09-10,0,0,3,7.76,24.65,5.055502511626519,3.592426500332867,1.4630760112936518
51,大博医疗,002901,2019-09-11,0,0,3,4.02,36.93,5.0395828176257496,3.190038285942072,1.8495445316836778
