,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
2,大冶特钢,000708,2019-09-10,0,0,10,4.49,11.04,6.564908593869561,4.7940060041599075,1.7709025897096533
23,恒铭达,002947,2019-09-10,0,0,10,1.22,54.39,6.430347403050073,2.880982478759681,3.5493649242903915
47,鸿远电子,603267,2019-09-10,0,0,10,1.65,27.32,6.3600624641831605,3.4807289909085415,2.879333473274619
42,华正新材,603186,2019-09-09,0,0,10,1.29,52.05,6.316072012471178,2.913038686496659,3.4030333259745187
18,金溢科技,002869,2019-09-10,0,0,10,1.18,83.71,6.243370700739458,2.600405096819138,3.64296560392032
44,菲林格尔,603226,2019-09-10,0,0,10,1.51,47.8,6.025528485791048,2.9772043265962265,3.048324159194822
1,长春高新,000661,2019-09-09,0,0,10,1.7,41.16,5.92355604782232,3.0969812887935064,2.826574759028814
20,科力尔,002892,2019-09-10,0,0,10,1.42,79.35,5.809787642796232,2.632206616305401,3.1775810264908313
39,博通集成,603068,2019-09-10,0,0,10,1.39,127.3,5.600589283073967,2.3754905584325905,3.225098724641377
52,珀莱雅,603605,2019-09-10,0,0,10,2.01,46.55,5.560806145408273,2.997746260815089,2.5630598845931845
29,恒力石化,600346,2019-09-10,0,0,10,70.39,12.01,5.491940594771541,4.6315894463794205,0.8603511483921202
53,艾迪精密,603638,2019-09-04,0,0,10,3.86,25.86,5.41971521500971,3.5395009567505995,1.88021425825911
41,昭衍新药,603127,2019-09-10,0,0,10,1.61,120.09,5.328618858265619,2.4044162261083257,2.924202632157293
16,凯莱英,002821,2019-09-10,0,0,10,2.31,55.29,5.248074948378381,2.8691990842364534,2.378875864141928
26,联美控股,600167,2019-09-09,0,0,10,22.88,16.34,5.210137417963672,4.12115519685156,1.088982221112112
36,恒立液压,601100,2019-09-10,0,0,10,8.82,21.71,5.146554134631698,3.740667529811858,1.4058866048198397
51,绝味食品,603517,2019-09-05,0,0,10,5.74,29.77,5.010718887715046,3.392639304118203,1.6180795835968431
49,集友股份,603429,2019-09-10,0,0,10,2.66,62.03,5.0065296938243655,2.789241901093408,2.217287792730957
21,深南电路,002916,2019-09-10,0,0,10,3.39,47.51,4.967361357609254,2.9818968498007004,1.9854645078085535
37,中国国旅,601888,2019-09-10,0,0,10,19.52,20.21,4.961232702530165,3.8297556763219824,1.131477026208182
45,景旺电子,603228,2019-09-10,0,0,10,6.02,32.42,4.900923647259469,3.3094763979454385,1.5914472493140304
60,益丰药房,603939,2019-09-10,0,0,10,3.79,47.12,4.882645584887611,2.9882764861247155,1.8943690987628956
56,家家悦,603708,2019-09-10,0,0,10,6.08,33.57,4.862656042832231,3.2766444544101296,1.5860115884221022
40,剑桥科技,603083,2019-09-10,0,0,10,1.67,343.37,4.829598966015784,1.971793611893754,2.85780535412203
19,美格智能,002881,2019-09-10,0,0,10,1.81,235.8,4.829272352596142,2.107442652228508,2.721829700367634
0,汇顶科技,603160,2019-09-10,0,0,10,4.56,44.17,4.7997082541593254,3.0392782967774745,1.760429957381851
46,大参林,603233,2019-09-10,0,0,10,5.2,40.02,4.796829753088685,3.120558890214541,1.676270862874144
32,通策医疗,600763,2019-09-10,0,0,10,3.21,76.29,4.6893807383890405,2.6560881900100592,2.033292548378981
54,安图生物,603658,2019-09-09,0,0,10,4.2,56.8,4.667630683108827,2.8500611299486045,1.8175695531602232
13,中顺洁柔,002511,2019-09-10,0,0,10,13.06,32.29,4.568745213926876,3.313303211548117,1.2554420023787591
55,健友股份,603707,2019-09-10,0,0,10,7.18,42.74,4.56601358857055,3.065914993422516,1.5000985951480348
35,隆基股份,601012,2019-09-10,0,0,10,36.24,24.93,4.561978723142827,3.5798097280700687,0.982168995072759
