,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
46,当代明诚,600136,2019-09-05,0,0,10,4.87,3.94,10.113612688857813,8.39635889657171,1.717253792286103
61,辅仁药业,600781,2019-08-30,0,0,10,6.27,5.64,8.224695985404885,6.6553162113648545,1.5693797740400304
59,重庆百货,600729,2019-09-12,0,0,10,4.07,8.37,7.259137683316971,5.418729868875604,1.8404078144413667
69,勘设股份,603458,2019-09-12,0,0,10,1.83,13.1,7.179454342606002,4.475188809952672,2.7042655326533303
75,大元泵业,603757,2019-09-09,0,0,10,1.64,15.76,7.065488521122391,4.175169353289439,2.890319167832952
57,万业企业,600641,2019-09-04,0,0,10,8.06,8.22,6.910901131013662,5.465246501356038,1.445654629657624
67,快克股份,603203,2019-09-09,0,0,10,1.57,22.03,6.694643887933134,3.722968002659391,2.971675885273743
50,凯乐科技,600260,2019-09-09,0,0,10,10.01,8.94,6.609345446573095,5.255758236391608,1.3535872101814876
71,司太立,603520,2019-09-05,0,0,10,1.68,22.99,6.519571636484724,3.672315009344762,2.847256627139961
51,羚锐制药,600285,2019-09-16,0,0,10,5.86,12.94,6.103070003113775,4.496668648879784,1.6064013542339903
41,比音勒芬,002832,2019-09-16,0,0,10,3.08,21.09,5.84731329610153,3.776216630146691,2.0710966659548387
12,京新药业,002020,2019-09-02,0,0,10,7.25,14.13,5.842661329614855,4.347288679482702,1.495372650132153
42,赛隆药业,002898,2019-09-04,0,0,10,1.6,53.05,5.834897047943285,2.899079469276443,2.935817578666842
30,金河生物,002688,2019-09-10,0,0,10,6.35,15.0,5.813998977385119,4.251370768638012,1.5626282087471066
25,凯撒文化,002425,2019-09-04,0,0,10,8.14,13.92,5.813194376485743,4.372008099914214,1.4411862765715298
38,世嘉科技,002796,2019-09-06,0,0,10,1.68,54.48,5.7270476436746,2.8797910165346385,2.847256627139961
40,东方中科,002819,2019-09-12,0,0,10,1.57,81.08,5.590966581952929,2.6192906966791862,2.971675885273743
76,松炀资源,603863,2019-09-11,0,0,10,2.06,47.06,5.517746936034499,2.9892650896012363,2.528481846433263
14,拓邦股份,002139,2019-09-05,0,0,10,10.19,16.27,5.474031701827701,4.127498246022192,1.3465334558055089
32,良信电器,002706,2019-09-06,0,0,10,7.85,17.84,5.453277059067953,3.9955414550729227,1.4577356039950304
16,游族网络,002174,2019-09-03,0,0,10,8.88,17.43,5.431026408839546,4.028043603347199,1.4029828054923472
35,电光科技,002730,2019-09-05,0,0,10,3.23,30.28,5.40347365580018,3.3757419448398545,2.0277317109603263
77,艾华集团,603989,2019-09-09,0,0,10,3.9,26.73,5.376190134214103,3.5038567963335554,1.8723333378805476
7,天夏智慧,000662,2019-09-11,0,0,10,10.93,18.99,5.230242921522072,3.9107566437143917,1.3194862778076797
26,富春环保,002479,2019-09-12,0,0,10,8.94,21.61,5.14639755851798,3.746287147856425,1.400110410661555
13,航天电器,002025,2019-09-02,0,0,10,4.29,33.02,5.094608577155984,3.2921223939292084,1.802486183226776
6,盛达矿业,000603,2019-09-04,0,0,10,6.9,26.75,5.022850480992361,3.503059395346293,1.5197910856460677
49,圆通速递,600233,2019-09-10,0,0,10,28.36,18.23,5.002140041977808,3.965777973631388,1.0363620683464194
48,香江控股,600162,2019-09-04,0,0,10,33.96,17.76,4.997755141770287,4.001783318085284,0.9959718236850029
55,山东药玻,600529,2019-09-04,0,0,10,5.95,30.64,4.961989660844283,3.364083838438349,1.5979058224059342
45,太极集团,600129,2019-09-10,0,0,10,5.57,31.87,4.961189011010314,3.3258345443120025,1.6353544666983106
28,飞龙股份,002536,2019-09-02,0,0,10,5.01,35.05,4.9361941390244075,3.236899573123164,1.6992945659012435
27,涪陵榨菜,002507,2019-09-10,0,0,10,7.89,27.97,4.911553634567776,3.4561595613617735,1.455394073206002
66,晶方科技,603005,2019-09-10,0,0,10,2.3,98.35,4.8932838653375565,2.509064794131051,2.384219071206505
64,上海电影,601595,2019-09-16,0,0,10,3.74,51.46,4.826240408370493,2.9214655455524405,1.9047748628180527
21,博深股份,002282,2019-09-10,0,0,10,4.38,44.46,4.821993441365321,3.034036810953283,1.7879566304120378
31,博实股份,002698,2019-09-10,0,0,10,10.23,27.6,4.815024294030991,3.4700315670393507,1.3449927269916397
58,上海石化,600688,2019-09-16,0,0,10,108.24,20.08,4.634328524642808,3.83799453997739,0.7963339846654179
74,中广天择,603721,2019-09-03,0,0,10,1.3,10000.0,4.633724852113051,1.25,3.3837248521130516
73,至纯科技,603690,2019-09-09,0,0,10,2.58,126.52,4.628881347444976,2.3785068418486146,2.2503745055963615
54,贵航股份,600523,2019-09-16,0,0,10,4.04,67.47,4.5794342199295155,2.733568816933717,1.8458654029957984
39,恒久科技,002808,2019-09-11,0,0,10,2.69,128.21,4.577383555877352,2.372004389516587,2.205379166360765
17,纳思达,002180,2019-09-09,0,0,10,10.63,35.18,4.563626665442024,3.233533898516458,1.3300927669255664
34,金贵银业,002716,2019-09-04,0,0,10,9.6,38.0,4.535423709139552,3.164990452304837,1.3704332568347153
22,南山控股,002314,2019-09-05,0,0,10,27.08,27.19,4.5330022239932815,3.485755650167211,1.0472465738260708
70,科沃斯,603486,2019-09-03,0,0,10,5.6,53.76,4.5216473261845485,2.8894063647980683,1.6322409613864803
53,华海药业,600521,2019-09-16,0,0,10,12.51,35.49,4.495928363588699,3.2255858645179076,1.2703424990707914
68,九洲药业,603456,2019-09-05,0,0,10,8.06,44.14,4.485478149888321,3.0398235202306965,1.445654629657624
1,皇庭国际,000056,2019-09-03,0,0,10,11.75,36.91,4.483209038707586,3.1905171801713688,1.292691858536217
43,德赛西威,002920,2019-09-06,0,0,10,5.5,60.14,4.453041707839633,2.810309572023796,1.6427321358158373
44,中直股份,600038,2019-09-02,0,0,10,5.89,58.78,4.429633907267078,2.8260888533709863,1.603545053896092
8,滨海能源,000695,2019-09-16,0,0,10,2.22,333.32,4.41061080333418,1.9818766315130192,2.428734171821161
65,中国石油,601857,2019-09-16,0,0,10,1830.21,19.71,4.396751793586323,3.8619384075144407,0.5348133860718819
24,顺丰控股,002352,2019-09-16,0,0,10,44.15,29.48,4.344938228052547,3.4024542383965137,0.9424839896560328
4,航天发展,000547,2019-09-03,0,0,10,16.06,39.32,4.324004218982105,3.1355560273872007,1.188448191594904
63,环旭电子,601231,2019-09-16,0,0,10,21.76,36.03,4.314058265596257,3.211996396180071,1.102061869416186
15,惠程科技,002168,2019-09-16,0,0,10,8.02,55.84,4.310054639475538,2.862138663566839,1.4479159759086997
36,埃斯顿,002747,2019-09-10,0,0,10,8.35,67.45,4.1635503212997405,2.7337612539277902,1.4297890673719502
3,特发信息,000070,2019-09-03,0,0,10,7.99,71.14,4.149242121630214,2.699618044921908,1.4496240767083066
20,歌尔股份,002241,2019-09-03,0,0,10,32.45,40.76,4.111004652198236,3.1051384181196355,1.0058662340786004
72,惠发食品,603536,2019-09-12,0,0,10,1.68,10000.0,4.097256627139961,1.25,2.847256627139961
11,东信和平,002017,2019-09-11,0,0,10,4.46,146.86,4.0829197947543765,2.3074400613212642,1.7754797334331127
56,号百控股,600640,2019-09-11,0,0,10,7.96,83.38,4.05406984187169,2.602727181237831,1.4513426606338584
0,深华发Ａ,000020,2019-09-04,0,0,10,2.83,605.74,3.950149710251834,1.7970832419628766,2.1530664682889573
5,江铃汽车,000550,2019-09-09,0,0,10,8.63,104.12,3.8935686869546164,2.4782727849300836,1.4152959020245328
62,华北制药,600812,2019-09-04,0,0,10,16.31,82.34,3.7938629403042925,2.610133455316293,1.1837294849879996
18,九鼎新材,002201,2019-09-06,0,0,10,3.32,808.56,3.7230523179318986,1.7195649244073867,2.003487393524512
23,新纶科技,002341,2019-09-10,0,0,10,11.52,248.37,3.387501461269142,2.0875962594225923,1.2999052018465496
37,龙津药业,002750,2019-09-12,0,0,10,4.0,2093.66,3.3588699726567914,1.505613156598538,1.8532568160582534
