,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
23,*ST沈机,000410,2019-09-09,2019-09-20,9,0,7.65,10000.0,2.7197423878799087,1.25,1.469742387879909
402,东方中科,002819,2019-09-11,2019-09-20,7,0,1.57,81.08,5.590966581952929,2.6192906966791862,2.971675885273743
786,华培动力,603121,2019-09-11,2019-09-20,7,0,2.16,37.13,5.649615413112751,3.185271408513252,2.464344004599499
499,*ST新亿,600145,2015-12-01,2019-09-20,7,0,14.91,10000.0,2.4616814098289765,1.25,1.2116814098289763
867,安图生物,603658,2019-09-12,2019-09-20,6,0,4.2,56.8,4.667630683108827,2.8500611299486045,1.8175695531602232
198,歌尔股份,002241,2019-09-12,2019-09-20,6,0,32.45,40.76,4.111004652198236,3.1051384181196355,1.0058662340786004
509,生益科技,600183,2019-09-12,2019-09-20,6,0,22.76,44.09,4.1310715292076825,3.0407334854686328,1.09033804373905
141,大族激光,002008,2019-09-12,2019-09-20,6,0,10.67,43.58,4.3787575741273175,3.050106119886148,1.3286514542411691
819,尚纬股份,603333,2019-09-12,2019-09-20,6,0,5.2,36.19,4.884301547937165,3.208030685063021,1.676270862874144
307,宝鼎科技,002552,2019-09-06,2019-09-20,6,0,3.06,24.59,5.6723429418849385,3.5951604082805906,2.077182533604348
605,ST丰华,600615,2019-09-12,2019-09-20,6,0,1.88,10000.0,3.912126484545942,1.25,2.662126484545942
831,东方时尚,603377,2019-09-12,2019-09-20,6,0,5.88,49.2,4.559638097709488,2.9551436916884706,1.6044944060210176
449,金奥博,002917,2019-09-12,2019-09-20,6,0,1.81,39.19,5.860216364170315,3.138386663802681,2.721829700367634
282,立讯精密,002475,2019-09-12,2019-09-20,6,0,53.49,43.6,3.9566029053019363,3.0497354096712432,0.9068674956306929
8,深深房Ａ,000029,2016-09-12,2019-09-20,5,0,10.12,16.66,5.441994460988292,4.092741532722358,1.3492529282659347
603,*ST毅达,600610,2019-04-26,2019-09-20,5,0,10.71,10000.0,2.5772186374995867,1.25,1.327218637499587
901,老百姓,603883,2019-09-16,2019-09-20,5,0,2.87,40.03,5.259377804524842,3.120347581053843,2.1390302234709995
838,振静股份,603477,2019-09-05,2019-09-20,5,0,2.4,37.16,5.517377023719808,3.1845598164808444,2.3328172072389632
100,*ST安凯,000868,2019-09-17,2019-09-20,4,0,7.33,27.22,4.97465511896708,3.4845922321649425,1.4900628868021373
404,凯莱英,002821,2019-09-17,2019-09-20,4,0,2.31,55.29,5.248074948378381,2.8691990842364534,2.378875864141928
442,大博医疗,002901,2019-09-17,2019-09-20,4,0,4.02,36.93,5.0395828176257496,3.190038285942072,1.8495445316836778
798,迎驾贡酒,603198,2019-09-17,2019-09-20,4,0,8.0,16.95,5.516840113621243,4.067786563296735,1.4490535503245079
366,特一药业,002728,2019-09-17,2019-09-20,4,0,2.01,16.57,6.66369771049679,4.100637825903606,2.5630598845931845
830,今世缘,603369,2019-09-17,2019-09-20,4,0,12.55,17.38,5.301321025916592,4.032096221010227,1.269224804906365
645,水井坊,600779,2019-09-17,2019-09-20,4,0,4.89,34.21,4.973760564098972,3.2591271915000948,1.7146333725988772
477,*ST保千,600074,2019-04-25,2019-09-20,4,0,24.38,10000.0,2.322872184557723,1.25,1.0728721845577234
666,ST中天,600856,2019-09-17,2019-09-20,4,0,13.67,10000.0,2.4900103454580944,1.25,1.2400103454580944
781,润达医疗,603108,2019-09-17,2019-09-20,4,0,5.8,16.97,5.678281524583824,4.0660924053136505,1.6121891192701734
886,威龙股份,603779,2019-09-18,2019-09-20,3,0,2.3,75.68,5.045235692261862,2.6610166210553574,2.384219071206505
711,东兴证券,601198,2019-09-18,2019-09-20,3,0,27.58,17.07,5.1005799961104685,4.057672441402808,1.042907554707661
250,亚厦股份,002375,2019-09-18,2019-09-20,3,0,13.4,19.25,5.139482210354954,3.8927751168287212,1.246707093526233
332,长青集团,002616,2019-09-18,2019-09-20,3,0,7.42,27.0,4.977374467022313,3.493172123815641,1.4842023432066715
355,红旗连锁,002697,2019-09-18,2019-09-20,3,0,13.6,19.59,5.1115927639274,3.8698658957572625,1.2417268681701377
236,柘中股份,002346,2019-09-18,2019-09-20,3,0,4.42,36.53,4.98136161163145,3.1996935006696314,1.7816681109618184
279,申通快递,002468,2019-09-18,2019-09-20,3,0,15.31,21.05,4.981869087218931,3.7785694799587084,1.2032996072602231
844,欧普照明,603515,2019-09-18,2019-09-20,3,0,7.56,26.43,4.991248775253863,3.515934163731199,1.4753146115226636
696,春秋航空,601021,2019-09-18,2019-09-20,3,0,9.17,24.03,5.010590853271326,3.6212104617964638,1.3893803914748628
881,鸣志电器,603728,2019-09-18,2019-09-20,3,0,4.16,33.56,5.101382620535636,3.2769223125494977,1.824460307986139
220,西部建设,002302,2019-09-18,2019-09-20,3,0,12.62,21.57,5.0158291065443255,3.7485470300830572,1.2672820764612678
724,会稽山,601579,2019-09-18,2019-09-20,3,0,4.97,30.39,5.076492357154979,3.372156521565528,1.7043358355894516
707,重庆水务,601158,2019-09-18,2019-09-20,3,0,48.0,15.86,5.092242621914545,4.165614213885418,0.9266284080291267
