,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
36,浙江广厦,600052,2019-09-12,0,0,3,8.72,1.58,26.579796540620336,25.168998884732144,1.4107976558881914
61,春风动力,603129,2019-09-12,0,0,3,1.34,15.69,7.491939888002202,4.181920417987058,3.310019470015144
16,宏创控股,002379,2019-09-11,0,0,3,9.26,7.01,7.29743449600639,5.912136071100141,1.3852984249062488
28,微光股份,002801,2019-09-12,0,0,3,1.18,23.4,7.294690766859528,3.6517251629392073,3.64296560392032
55,郑煤机,601717,2019-09-12,0,0,3,17.32,6.7,7.21844655587545,6.052720629721003,1.1657259261544468
3,大冶特钢,000708,2019-09-12,0,0,3,4.49,11.04,6.564908593869561,4.7940060041599075,1.7709025897096533
66,司太立,603520,2019-09-11,0,0,3,1.68,22.99,6.519571636484724,3.672315009344762,2.847256627139961
40,涪陵电力,600452,2019-09-12,0,0,3,3.14,13.52,6.474238382465524,4.420957599843755,2.053280782621769
35,恒铭达,002947,2019-09-12,0,0,3,1.22,54.39,6.430347403050073,2.880982478759681,3.5493649242903915
15,焦点科技,002315,2019-09-10,0,0,3,2.35,18.15,6.329759781507067,3.9717950777224025,2.3579647037846647
4,中兴商业,000715,2019-09-11,0,0,3,2.79,16.26,6.295900169250666,4.1284082217004245,2.167491947550242
2,长春高新,000661,2019-09-10,0,0,3,1.7,41.16,5.92355604782232,3.0969812887935064,2.826574759028814
51,赛轮轮胎,601058,2019-09-12,0,0,3,27.0,10.65,5.9148440388754135,4.866892401730722,1.0479516371446924
31,科达利,002850,2019-09-12,0,0,3,2.1,35.97,5.715553101670173,3.213490618580615,2.5020624830895573
27,坚朗五金,002791,2019-09-11,0,0,3,3.22,23.09,5.697741963244041,3.6672379582643972,2.0305040049796435
32,三利谱,002876,2019-09-12,0,0,3,1.04,1379.97,5.639739211372469,1.5924227962075497,4.04731641516492
0,神州数码,000034,2019-09-11,0,0,3,6.54,16.8,5.627752973932011,4.080602403466201,1.5471505704658102
59,博通集成,603068,2019-09-10,0,0,3,1.39,127.3,5.600589283073967,2.3754905584325905,3.225098724641377
53,博威合金,601137,2019-09-12,0,0,3,6.85,16.85,5.5997563903229555,4.076308810047354,1.5234475802756022
